2018 Progressive Metal/Rock Albums,,Releases:,292,"Sort Alphabetically by Artist: 
Data -> Filter views... -> Artist - Alphabetical
By Vocal Style:
Filter views... -> Vocal Style - Alphabetical",,,,,,,
Superfjord,All Will be Golden,September 21,LP,"Prog-rock, Psychedelic Rock",Clean,"Helsinki, Finland",BC,S,GP,YT,A
SUMAC,Love in Shadow,September 21,LP,"Post-metal, Atmospheric Sludge metal",Harsh,US / Canada,BC,S,GP,YT,A
Voivod,The Wake,September 21,LP,"Thrash metal, Prog-metal",Mixed,"Jonquière, Quebec",,S,GP,YT,A
Dir En Grey,The Insulated World,September 26,LP,"Prog-metal, Avant-garde, Alt-metal, Nu metal",Mixed,Japan,,S,GP,YT,A
Immortal Guardian,Age of Revolution,September 26,LP,"Prog-metal, Power metal",Mixed,"Austin, TX",BC,S,GP,YT,A
Outwards,To Become,September 27,LP,Crossover Prog,Clean,"Paris, France",BC,S,GP,YT,A
A Forest of Stars,Grave Mounds and Grave Mistakes,September 28,LP,"Psychedelic Black metal, Avant-garde",Mixed,"England, UK",BC,S,GP,YT,A
Ambassador,Belly of the Whale,September 28,LP,"Prog-rock, Alt-rock",Clean,"Baton Rouge, LA",BC,S,GP,,A
Hail the Sun,Mental Knife,September 28,LP,"Post-hardcore, Prog-rock, Math-rock",Mixed,CA,BC,S,GP,YT,A
Horrendous,Idol,September 28,LP,"Prog-metal, Death metal",Mixed,"Philadelphia, PA",BC,S,GP,YT,A
Loneshore,From Presence to Silence,September 28,LP,"Melodic prog-metal, Death metal, Doom metal",Mixed,Brazil,BC,S,GP,YT,A
Revocation,The Outer Ones,September 28,LP,"Death metal, Prog-metal",Harsh,"Boston, MA",BC,S,GP,YT,A
Riverside,Wasteland,September 28,LP,Prog-rock,Clean,"Warsaw, Poland",,S,GP,YT,A
Tauk,Shapeshifter II: Outbreak,September 28,LP,"Jazz Fusion, Prog-rock",Instrumental,"New York, NY",BC,S,GP,YT,A
The Arusha Accord,Juracán,September 28,EP,"Prog-metal/rock, Mathcore",Mixed,"Reading, UK",BC,S,GP,YT,A
Ramage Inc.,Under the Skin,September 30,LP,Prog-metal,Mixed,"Edinburgh, UK",BC,S,GP,,A
Black Peaks,All That Divides,October 5,LP,Prog-rock/metal,Mixed,"Brighton, England",,S,GP,YT,A
Coheed and Cambria,Vaxis – Act I: The Unheavenly Creatures,October 5,LP,"Prog-rock, Alt-rock",Clean,"New York, NY",,S,GP,YT,A
Gentleman Surfer,Hard Pass,October 5,LP,"Prog-rock, Avant-garde, Punk",Mixed,"Sacramento, CA",BC,,,,
Monuments,Phronesis,October 5,LP,"Prog-metal, Djent",Mixed,UK,,S,GP,YT,A
Ketha,Magnaminus,October 8,EP,"Prog-metal, Experimental",Instrumental,"Krakow, Poland",,S,GP,YT,A
Beyond Creation,Algorythm,October 12,LP,"Prog-metal, Technical Death metal",Harsh,"Montreal, Québec",BC,S,GP,YT,A
Glass Hammer,Chronomonaut,October 12,LP,Prog-rock,Clean,"Chattanooga, TN",,,,,A
Jarod Fedele,A Collection of Color,October 12,2xLP,Prog-metal/rock,Instrumental,CA,BC,S,GP,YT,A
Seventh Wonder,Tiara,October 12,LP,Prog-metal,Clean,"Stockholm, Sweden",,S,GP,YT,A
Stam1na,Taival,October 12,LP,Prog-metal,Mixed,"Lemi, Finland",,S,GP,YT,A
The Odious Construct,Shrine of the Obscene,October 12,EP,"Technical Death metal, Prog-metal",Harsh,"Sacramento, CA",BC,S,GP,YT,A
VOLA,Applause of a Distant Crowd,October 12,LP,"Prog-metal, Djent",Mixed,"Copenhagen, Denmark",BC,S,GP,YT,A
RXYZYXR,II of V,October 17,LP,"Prog-metal, Djent",Instrumental,"Saint Petersburg, Russia",BC,S,GP,YT,A
Gorod,Æthra,October 19,LP,"Prog-metal, Technical Death metal",Mixed,"Bordeaux, France",,S,GP,YT,A
Nauticus,Disappear in Blue,October 19,LP,"Prog-metal, Post-metal, Experimental",Mixed,"Turku, Finland",,S,GP,YT,A
Oak,False Memory Archive,October 19,LP,"Prog-rock, Electronica, Folk, Pop",Clean,"Oslo, Norway",BC,S,GP,YT,A
Face the Day,Stuck in the Present,October 22,LP,"Prog-rock, Alt-rock",Mixed,"Prague, Czech Republic",BC,S,GP,YT,A
Haken,Vector,October 26,LP,Prog-metal/rock,Clean,"London, England",BC,S,GP,,A
Into Eternity,The Sirens,October 26,LP,"Prog-metal, Power metal, Death metal",Harsh,"Regina, Saskatchewan",BC,S,GP,,A
Pijn,Loss,October 26,LP,"Post-rock/metal, Prog-metal, Experimental",Instru./Mixed,"Manchester, UK",BC,S,GP,YT,A
Samskaras,Lithification,October 26,EP,"Prog-metal, Technical Death metal",Harsh,"Montreal, Québec",BC,S,GP,YT,A
Thumpermonkey,"Make Me Young, etc.",October 26,LP,"Prog-rock, Art rock",Clean,"London, UK",BC,S,GP,YT,A
Warrel Dane,Shadow Work,October 26,LP,"Prog-metal, Power metal, Thrash metal",Clean,"Seattle, WA",,S,GP,YT,A
Wills Dissolve,The Heavens are Not on Fire...,October 26,LP,"Prog-metal, Technical Death metal, Post-metal",Harsh,"Houston, TX",BC,,GP,,A
Jun Mitsui,Dystopia,October 30,EP,Prog-metal,Instrumental,Philippines,BC,S,,YT,A
Dilemma,Random Acts of Liberation,November 2,LP,Prog-rock,Clean,Netherlands,,S,GP,YT,A
Miotic,CTRL + A,November 2,LP,"Math-rock, Noise rock, Experimental, Prog-rock",Instrumental,"Bologna, Italy",BC,S,GP,YT,A
Noise Trail Immersion,Symbology of Shelter,November 2,LP,"Black metal, Death metal, Mathcore, Prog-metal",Mixed,"Berlin, Germany",BC,S,GP,YT,A
The Algorithm,Compiler Optimization Techniques,November 2,LP,"Prog-metal, Djent, Synthwave",Mixed,"Berlin, Germany",BC,S,GP,YT,A
The Earth Laid Bare,Flow,November 2,LP,"Prog-metal, Metalcore, Djent",Mixed,"Highland Heights, KY",BC,S,GP,YT,A
The Ocean,Phanerozoic I: Palaeozoic,November 2,LP,"Post-metal, Prog-metal",Mixed,"Berlin, Germany",BC,S,GP,YT,A
Toska,Fire by the Silos,November 2,LP,Prog-metal/rock,Instrumental,"Brighton, UK",BC,S,GP,YT,A
Witherfall,A Prelude to Sorrow,November 2,LP,"Prog-metal, Power metal",Clean,"Los Angeles, CA",,S,GP,YT,A
Amiensus / Oak Pantheon,Gathering II,November 5,EP,"Prog-metal, Atmospheric Black metal, Folk metal",Harsh,MN,BC,,,,
Antimatter,Black Market Enlightenment,November 9,LP,"Prog-rock, Dark Ambient, Alt-rock",Clean,"Liverpool, UK",,S,GP,YT,A
Lalle Larsson Trio,Ashen Lights,November 9,LP,"Jazz Fusion, Eclectic Prog",Instrumental,Sweden,,S,GP,YT,A
Rikard Sjöblom's Gungfly,Friendship,November 9,LP,Prog-rock,Clean,Sweden,,S,GP,YT,A
Sadist,Spellbound,November 9,LP,"Prog-metal, Death metal",Harsh,"Genoa, Italy",BC,S,GP,YT,A
Their Dogs were Astronauts,Occult Theories,November 9,EP,"Prog-metal/rock, Djent",Instrumental,"Vienna, Austria",BC,S,GP,YT,
Thomas Giles,Don't Touch the Outside,November 9,LP,"Prog-rock, Art rock, Electronica",Clean,"Aliso Viejo, CA",,S,GP,YT,A
Voices From the Fuselage,Odyssey: The Founder of Dreams,November 9,LP,"Prog-metal, Djent",Clean,"Northampton, UK",,S,GP,YT,A
Lucas Ray Exp,Sphinx,November 13,EP,Prog-rock/metal,Clean,Brazil,BC,S,GP,YT,A
All Traps on Earth,A Drop of Light,November 16,LP,"Prog-rock, Symphonic, Avant-garde",Instru./Clean,"Stockholm, Sweden",BC,,,,A
Azusa,Heavy Yoke,November 16,LP,"Prog-metal, Post-hardcore, Thrash metal, Experimental",Mixed,PA / Norway / Greece,,S,GP,YT,A
Baring Teeth,Transitive Savagery,November 16,LP,"Technical Death metal, Prog-metal, Grindcore",Harsh,"Dallas, TX",BC,S,GP,YT,A
Kosm,Cosmonaut,November 16,LP,"Prog-metal, Alt-metal",Mixed,"Vancouver, British Columbia",BC,S,GP,YT,A
Lithium Dawn,Gravity Waves,November 16,EP,Prog-metal/rock,Mixed,"Washington, D.C.",BC,S,GP,YT,A
Scarsic,Sacred Ocean,November 16,LP,"Metalcore, Djent, Prog-metal, Alt-rock",Mixed,"New York, NY",BC,S,GP,YT,A
Shattered Skies,Muted Neon,November 16,LP,"Prog-metal, Djent",Mixed,UK,BC,S,GP,YT,A
Sunless Dawn,Timeweaver,November 16,LP,"Prog-metal, Death metal",Harsh,"Copenhagen, Denmark",BC,S,GP,YT,
The Tangent,Proxy,November 16,LP,Eclectic Prog,Clean,UK,,S,GP,YT,A
Perlocution,Aggiornamento,November 17,EP,"Technical Deathcore, Prog-metal, Orchestral",Harsh,"Winnipeg, Manitoba",BC,S,GP,YT,A
Lenio,Weight on a Scale,November 18,EP,"Prog-rock, Alt-rock",Clean,"Mannheim, Germany",BC,S,GP,YT,A
22,You Are Creating: Limb2,November 23,LP,"Prog-rock, Alt-rock",Clean,"Trondheim, Norway",BC,S,GP,YT,A
In the Woods...,Cease the Day,November 23,LP,"Black metal, Avant-garde, Prog-metal/rock",Mixed,Norway,BC,S,GP,YT,A
Roine Stolt's The Flower King,Manifesto of an Alchemist,November 23,LP,"Prog-rock, Symphonic",Clean,Sweden,,S,GP,YT,A
Zapruder,Zapruder,November 23,LP,"Mathcore, Post-hardcore, Jazz, Experimental",Mixed,"Poitiers, France",BC,S,GP,YT,A
Ellesmere,Ellesmere II - From Sea and Beyond,November 30,LP,Prog-rock,Clean,"Rome, Italy",BC,,,,
The Intersphere,The Grand Delusion,November 30,LP,"Prog-rock, Alt-rock",Clean,"Mannheim, Germany",BC,S,GP,YT,A
Tusmørke,Osloborgerlig Tusmørke: Vardøger og Utburder vol 1,November 30,LP,"Prog-rock, Folk rock, Psyechedelic",Clean,"Oslo, Norway",BC,S,GP,YT,A
Crevassian,Crevassian,December 7,EP,"Post-metal, Prog-metal, Djent, Ambient",Instrumen,"London, UK",BC,S,GP,YT,A
Keor,Petrichor,December 7,LP,"Prog-rock, Art rock, Orchestral, Folk",Mixed,"Montpellier, France",BC,S,GP,YT,A
Left as Rain,Trailing Off,December 7,LP,Prog-metal/rock,Instru./Mixed,"Los Angeles, CA",BC,S,GP,,A
Darkaeon,The Shattered Monolith,December 4,LP,"Prog-metal, Melodic Death metal",Mixed,"Montreal, Québec",BC,S,GP,YT,A
Scoparia,Renewal,December 12,LP,"Prog-metal, Death metal",Mixed,"Hobart, Australia",BC,S,GP,,A
Dirge,Lost Empyrean,December 14,LP,"Atmospheric Sludge metal, Prog-metal, Post-metal",Mixed,"Paris, France",BC,S,GP,YT,A
Presto Ballet,The Days Between,December 14,LP,Prog-rock,Clean,"Seattle, WA",,S,GP,YT,A
Sithu Aye,Homebound,December 17,LP,"Prog-metal, Djent",Instrumental,"Glasgow, UK",BC,S,GP,YT,A
Thrailkill,Everything that is You,December 21,LP,,,"Los Angeles, CA",BC,S,GP,YT,A
Lascaille's Shroud,The Tiger's Daughter,December 28,LP,"Prog-metal, Death metal",Mixed,FL,BC,,,YT,
