2020 Progressive Metal Albums,,Releases:,563,"Sort by Artist, Vocal Style, or Genre:
Data -> Filter views... -> ...
Or create your own Filter View:
Data -> Filter views... -> Create a new filter view","Collaborators: 
/u/FranticDav
/u/Faceless_Aeons
/u/tapestrymusicpodcast
/u/ickybus",,Images & Words: The Prog Discord,,,,
Paralydium,Worlds Beyond,June 12,LP,Prog-metal,Clean,"Stockholm, Sweden",,S,,,
Sight of Emptiness,Redemption,June 16,LP,"Prog-metal, Death metal",Mixed,"San José, CR",BC,S,,,
Firelink,Firelink,June 16,LP,"Prog-metal, Melodic Black metal",Harsh,"Atlanta, GA",BC,S,,,
Protest the Hero,Palimpsest,June 18,LP,Prog-metal,Mixed,"Whitby, ON",BC,S,YT,,
Hail Spirit Noir,Eden In Reverse,June 19,LP,"Prog-metal, Psychedelic rock",Mixed,"Thessaloniki, Greece",BC,S,YT,,
Circle of Sighs,Salo,June 19,LP,"Prog-metal, Doom metal",Mixed,"Los Angeles, CA",BC,S,,,
Eye of Nix,Ligeia,June 19,LP,"Black metal, Doom metal, Sludge metal",Mixed,"Seattle, WA",BC,S,,,
Alarum,Circle's End,June 19,LP,Prog-metal,Mixed,"Melbourne, Australia",,S,,,
Underer,The Code,June 19,EP,"Prog-metal, Avant-garde, Experimental",Harsh,"Camden, NJ",BC,S,,,
Vile Creature,"Glory, Glory! Apathy Took Helm!",June 19,LP,"Black metal, Doom metal, Sludge metal",Mixed,"Hamilton, ON",BC,S,YT,,
Preseija,Reclaim Your Mind,June 19,LP,"Prog-metal, Metalcore",Mixed,"Limburg, Germany",BC,S,YT,,
Luminescence,L#I,June 20,EP,Prog-metal,Instrumental,Slovenia,BC,S,,,
Dessiderium,Shadow Burn,June 25,LP,"Prog-metal, Death metal, Symphonic Black metal",Mixed,"Phoenix, AZ",BC,S,,,
Pyrrhon ,Abscess Time,June 26,LP,"Prog-metal, Technical Death metal, Avant-garde",Harsh,"New York, NY",BC,S,,,
Dismalimerence,Tome: 1,June 26,LP,"Prog-metal, Atmospheric Black metal",Harsh,"Chicago, IL",BC,S,YT,,
OHHMS,Close,June 26,LP,"Prog-metal, Stoner metal, Psychedelic rock",Mixed,"Kent, UK",BC,S,,,
Bell Witch and Aerial Ruin,Stygian Bough Volume I,June 26,LP,Funeral Doom metal,Clean,"Seattle, WA",BC,S,,,
Creature,Ex Cathedra,June 26,LP,"Prog-metal, Avant-garde Black metal",Mixed,"Brittany, France",BC,S,,,
Wren,Groundswells,June 26,LP,"Atmospheric Sludge metal, Post-metal",Harsh,"London, UK",BC,S,,,
Inexorum,Moonlit Navigation,June 26,LP,Melodic Black metal,Harsh,"Minneapolis, MN",BC,S,,,
Fellwarden,Wreathed in Mourncloud,June 26,LP,Atmospheric Black metal,Mixed,UK,BC,S,YT,,
Carach Angren,Franckensteina Strataemontanus,June 26,LP,"Symphonic Black metal, Orchestral",Mixed,"Landgraaf, Netherlands",BC,S,,,
VoidCeremony,Entropic Reflections Continuum: Dimensional Unravel,June 26,LP,"Prog-metal, Technical Death metal",Harsh,"Ramona, CA",BC,S,YT,,
Exocrine,Maelstrom,June 26,LP,"Prog-metal, Technical Death metal",Harsh,"Bordeaux, France",BC,S,YT,,
Serocs,Vore,June 26,EP,Technical Death metal,Harsh,Mexico,BC,S,YT,,
Asian Death Crustacean,Baikal,June 26,LP,"Prog-metal, Jazz Fusion, Ambient",Instrumental,"London, UK",BC,S,YT,,
Increate,Subduction,June 26,LP,Prog-metal,Instrumental,"Portland, OR",BC,S,,,
Tiberius,A Peaceful Annihilation,June 26,LP,Prog-metal,Clean,"Edinburgh, UK",BC,S,YT,,
Lares,Towards Nothingness,June 26,LP,"Psychedelic Sludge metal, Doom metal",Harsh,"Berlin, Germany",BC,S,,,
Thecodontion,Supercontinent,June 26,LP,"Death metal, Black metal, Avant-garde",Harsh,"Rome, Italy",BC,S,,,
Neptunian Maximalism,Éons,June 26,LP,"Drone metal, Jazz metal, Experimental",Instru./Mixed,Belgium,BC,S,,,
Descend,The Deviant,June 26,LP,"Prog-metal, Death metal",Mixed,"Stockholm, Sweden",BC,S,YT,,
Jonas Tamas ,The Four Seasons - Part 3: Autumn,June 28,EP,"Prog-metal, Djent, Ambient",Instrumental,"Budapest, Hungary",BC,,YT,,
Virtual Symmetry,Exoverse,June 30,LP,Prog-metal,Clean,"Milan, Italy",,S,YT,,
Paul Wardingham,Day Zero: Rise Of The Horde,June 30,LP,"Prog-metal, Djent, Industrial",Instrumental,Australia,BC,S,,,
Grace Disgraced,Immortech,June 30,LP,Technical Death metal,Harsh,"Moscow, Russia",BC,S,YT,,
Aleah,Aleah,July 1,LP,"Doom metal, Ambient, Gothic metal",Clean,Sweden,BC,S,,,
Inpathos ,Divinity,July 1,LP,"Prog-metal, Melodic Death metal",Mixed,"Bellingham, WA",BC,S,YT,,
Asava,Asava,July 1,LP,"Prog-metal, Alt-metal, Shoegaze",Clean,"Canton, OH",BC,S,,,
Connor Kaminski,Escapism,July 3,EP,"Prog-metal, Djent",Instrumental,"Manchester, UK",BC,S,YT,,
Convocation,Ashes Coalesce,July 3,LP,"Doom metal, Death metal",Harsh,"Helsinki, Finland",BC,S,YT,,
Bury Tomorrow,Cannibal,July 3,LP,"Prog-metal, Metalcore",Mixed,"Portsmouth, UK",,S,,,
Petrichon,The Marigold Household,July 8,LP,Prog-metal,Instrumental,"Jakarta, Indonesia",BC,S,,,
My Atomic Majesty,My Atomic Majesty,July 9,EP,"Prog-metal, Avant-garde, Electronic",Mixed,"Berlin, Germany",BC,S,,,
EMBR,1823,July 10,LP,"Doom metal, Stoner metal, Heavy metal",Clean,"Birmingham, AL",BC,S,,,
Ensiferum,Thalassic,July 10,LP,"Folk metal, Melodic Death metal",Mixed,"Helsinki, Finland",BC,S,YT,,
Aseitas,False Peace,July 10,LP,"Prog-metal, Technical Death metal, Experimental",Harsh,"Portland, OR",BC,S,YT,,
Inter Arma,Garbers Days Revisited,July 10,LP,"Prog-metal, Doom metal, Sludge metal",Mixed,"Richmond, VA",BC,S,YT,,
Voivod,The End Of Dormancy,July 10,EP,"Prog-metal, Thrash metal",Mixed,"Montréal, QC",,S,,,
Meridian Dawn,The Fever Syndrome,July 10,LP,Melodic Death metal,Mixed,"Columbus, OH",BC,S,,,
Simulacra,Cretaceous,July 10,LP,"Prog-metal, Death metal",Harsh,"Toronto, ON",BC,S,,,
Kiko Loureiro,Open Source,July 10,LP,"Prog-metal, Speed metal, Power metal, Jazz",Instrumental,"Rio de Janeiro, Brazil",,S,YT,,
Alizarin,The Last Semblance,July 10,LP,Prog-metal,Clean,"Los Angeles, CA",BC,S,YT,,
Merlock,That Which Speaks...,July 10,LP,"Psychedelic Stoner metal, Doom metal",Mixed,"Spokane, WA",BC,S,,,
Fractal Sun,Turmoil,July 16,LP,"Prog-metal, Symphonic, Djent",Mixed,Costa Rica,BC,S,,,
Dustern,River of Years,July 17,LP,"Doom metal, Shoegaze, Psychedelic rock",Mixed,"Oakland, CA",BC,S,,,
Xythlia,Immortality Through Quantum Suicide,July 17,LP,"Technical Death metal, Experimental, Grindcore",Harsh,"Minneapolis, MN",BC,S,,,
Venus Syndrome,Venus Syndrome,July 20,LP,Prog-metal,Mixed,France,BC,S,,,
Guardsman,"The Entropy Illusion, Pt. 2",July 20,LP,Prog-metal,Clean,"Chicago, IL",BC,S,,,
Judicator,Let There Be Nothing,July 24,LP,"Prog-metal, Power metal",Clean,"Tucson, AZ",BC,S,,,
Defeated Sanity,The Sanguinary Impetus,July 24,LP,"Prog-metal, Brutal Death metal",Harsh,"Berlin, Germany",BC,S,,,
Gaerea,Limbo,July 24,LP,Post-black metal,Harsh,Portugal,BC,S,YT,,
Buried Realm,Embodiment of the Divine,July 24,LP,"Prog-metal, Melodic Death metal",Harsh,"Colorado, CO",BC,S,,,
Bedsore,Hypnagogic Hallucinations,July 24,LP,"Prog-metal, Death metal, Psychedelic",Harsh,"Rome, Italy",BC,S,YT,,
Haken,Virus,July 24,LP,Prog-metal,Clean,"London, UK",,S,YT,,
The Acacia Strain,Slow Decay,July 24,LP,"Metalcore, Sludge metal",Mixed,"Western MA, CT",,S,,,
Stonebirds,Collapse and Fail,July 24,LP,"Post-metal, Sludge metal, Stoner metal",Mixed,"Rostrenen, France",BC,S,,,
Denominate,Isochron,July 24,LP,"Prog-metal, Technical Death metal",Harsh,"Oulu, Finland",BC,S,,,
Legion and the Thieves,Through Painted Skies,July 26,EP,"Prog-metal, Electronic",Mixed,"Pensacola, FL",BC,S,,,
Black Harvest,Sun Across The Fields,July 31,EP,"Prog-metal, Melodic Black metal",Mixed,"Lowell, MA",BC,,YT,,
Imperial Triumphant,Alphaville,July 31,LP,Avant-garde Black metal,Harsh,"Manhattan, NY",,S,,,
Æpoch,The Scryer,July 31,EP,"Prog-metal, Technical Death metal",Harsh,"Cambridge, ON",BC,S,,,
Powersquad,Mysterizer,July 31,LP,"Prog-metal, Power metal",Mixed,"Uzhhorod, Ukraine",BC,S,,,
POET,Emily,August 1,LP,"Doom metal, Neoclassical",Mixed,"Eugene, OR",BC,,,,
Kekal,Quantum Resolution,August 1,LP,"Prog-metal, Avant-garde metal, Electronic",Mixed,"Jakarta, Indonesia",BC,S,,,
Breakfast Epiphanies,All of These Bees​.​.​.,August 3,EP,"Prog-metal, Math rock, Experimental",Clean,"London, UK",BC,S,,,
Dakesis,Fractures,August 4,LP,"Prog-metal, Power metal",Clean,"Birmingham, UK",BC,S,,,
Mesarthim,The Degenerate Era,August 6,LP,"Atmospheric Black metal, Space metal",Harsh,Australia,BC,,,,
Black Crown Initiate,Violent Portraits of Doomed Escape,August 7,LP,"Prog-metal, Death metal",Mixed,"Reading, PA",,S,,,
Misery Signals,Ultraviolet,August 7,LP,"Prog-metal, Metalcore",Mixed,"Milwaukee, WI",BC,S,,,
Good Tiger,Raised In A Doomsday Cult,August 7,LP,"Prog-metal, Alt-rock",Clean,"London, UK",BC,S,,,
Gruppe Planet,Travel To Uncertain Grounds,August 7,LP,"Prog-metal, Post-metal",Instrumental,Germany,BC,S,,,
AGES,New Frontier,August 7,LP,"Prog-metal, Psychedelic, Experimental",Mixed,"New Jersey, NJ",BC,,,,
Selbst,Relatos De Angustia,August 7,LP,"Dissonant Black metal, Atmospheric Black metal",Harsh,Chile,BC,S,,,
Krallice,Mass Cathexis,August 7,LP,"Prog-metal, Atmospheric Black metal, Avant-garde metal",Harsh,"New York, NY",BC,S,YT,,
The Polymer Motive ,Emerge,August 11,EP,"Prog-metal, Fusion, Djent",Instrumental,"Tampa, FL",BC,S,,,
Desolate Dreams,Coalescence,August 13,LP,Prog-metal,Instrumental,"Edinburgh, UK",BC,S,,,
Nug,Alter Ego,August 14,LP,"Prog-metal, Post-metal",Mixed,"Ivano Frankivsk, Ukraine",BC,S,,,
Atra Bilis,Divinihility,August 14,EP,Technical Death metal,Harsh,"Vancouver, BC",BC,S,,,
Primitive Man,Immersion,August 14,LP,"Doom metal, Sludge metal, Black metal",Harsh,"Denver, CO",BC,S,,,
Titan to Tachyons,Cactides,August 14,LP,"Prog-metal, Avant-garde metal",Instrumental,"New York, NY",BC,S,,,
Mercury Circle,The Dawn Of Vitriol,August 14,EP,"Doom metal, Dark rock",Mixed,"Helsinki, Finland",BC,S,,,
Bull Elephant,Created From Death,August 14,LP,"Prog-metal, Doom metal",Mixed,"London, UK",BC,,,,
Pencarrow,Growth In The Absence Of Light,August 15,LP,Prog-metal,Mixed,"Wellington, New Zealand",BC,S,,,
Fallen Shrines,Fallen Shrines,August 18,LP,"Prog-metal, Post-metal, Djent",Instrumental,"Richmond, VA",BC,S,,,
Pyramid Theorem,Beyond the Exosphere,August 21,LP,Prog-metal,Clean,"Toronto, ON",BC,S,,,
Incantation,Sect of Vile Divinities,August 21,LP,"Death metal, Black metal",Harsh,"Johnstown, PA",BC,S,,,
Unleash The Archers,Abyss,August 21,LP,"Power metal, Melodic Death metal",Mixed,"Vancouver, BC",BC,S,,,
Atramentus,Stygian,August 21,LP,"Funeral Doom metal, Dark Ambient",Mixed,"Longueuil, QC",BC,S,YT,,
Humavoid,Lidless,August 21,LP,"Prog-metal, Djent",Mixed,"Espoo, Finland",BC,S,,,
Glass Ocean,The Remnants of Losing Yourself in Someone Else,August 21,LP,"Prog-metal, Alt-rock",Clean,"Sydney, Australia",BC,S,,,
Evilyn,Inside Shells,August 21,EP,Dissonant Death metal,Harsh,US,BC,S,YT,,
Joel Lindfors,Atopia,August 21,LP,"Prog-metal, Orchestral, Electronic",Instrumental,"Espoo, Finland",BC,S,,,
Andy James,C​.​S​.​I​.​L,August 21,LP,Prog-metal,Instrumental,UK,BC,S,,,
Garth Arum,The Fireflowers Tale,August 24,LP,"Prog-metal, Avant-garde Black metal",Mixed,"Madrid, Spain",BC,,,,
Radiant Knife,The Body,August 28,EP,"Prog-metal, Sludge metal, Doom metal",Mixed,"Lafayette, LA",BC,S,,,
Spook the Horses,Empty Body,August 28,LP,"Post-metal, Atmospheric Sludge metal",Harsh,"Wellington, New Zealand",BC,S,YT,,
Pain of Salvation,Panther,August 28,LP,Prog-metal,Clean,"Eskilstuna, Sweden",,S,,,
Hinayana,Death Of The Cosmic,August 28,EP,"Melodic Death metal, Doom metal",Harsh,"Austin, TX",BC,S,,,
Turtle Skull,Monoliths,August 28,LP,"Doom metal, Psychedelic rock, Stoner rock",Clean,"Sydney, Australia",BC,S,,,
Pig Destroyer,The Octagonal Stairway,August 28,EP,"Grindcore, Death metal",Harsh,"Alexandria, VA",BC,S,YT,,
Exist,Egoiista,August 28,LP,"Prog-metal, Death metal, Jazz Fusion",Mixed,"Baltimore, MD",BC,S,YT,,
Wills Dissolve,Echoes,August 28,LP,"Prog-metal, Death metal, Ambient",Mixed,"Houston, TX",BC,S,YT,,
Luna's Call,Void,August 28,LP,"Prog-metal, Technical Death metal",Mixed,"Lincoln, UK",BC,S,YT,,
Manticora,To Live to Kill to Live,August 28,LP,"Prog-metal, Power metal",Clean,"Copenhagen, Denmark",BC,S,,,
Vanishing Point,Dead Elysium ,August 28,LP,Prog-metal,Clean,"Melbourne, Australia",BC,S,,,
John Petrucci,Terminal Velocity,August 28,LP,Prog-metal,Instrumental,"Long Island, NY",,S,,,
Hymn,Breach Us,August 28,LP,"Post-metal, Sludge metal",Harsh,"Oslo, Norway",BC,S,,,
Dahlian,Moonlit,September 1,LP,"Prog-metal, Death metal",Mixed,Germany,BC,S,,,
Toehider,I LIKE IT!,September 4,LP,"Prog-metal, Alt-rock",Mixed,"Melbourne, Australia",BC,S,,,
All Them Witches,Nothing as the Ideal,September 4,LP,"Prog-metal, Stoner metal, Psychedelic rock",Clean,"Nashville, TN",BC,S,,,
Oceans of Slumber,Oceans of Slumber,September 4,LP,Prog-metal,Mixed,"Houston, TX",,S,,,
Vacant Eyes,A Somber Preclusion of Being,September 4,LP,"Prog-metal, Doom metal, Death metal",Mixed,"Easthampton, MA",BC,S,,,
Cult of Lilith,Mara,September 4,LP,"Technical Death metal, Neoclassical",Harsh,"Reykjavík, Iceland",BC,S,YT,,
Katavasia,Magnus Venator,September 4,LP,Melodic Black metal,Harsh,Greece,BC,S,,,
Foretoken,Ruin,September 4,LP,"Melodic Death metal, Symphonic Black metal",Harsh,"Virginia Beach, VA",BC,S,,,
Sumokem,Prajnaparadha,September 4,LP,"Prog-metal, Doom metal, Sludge metal",Mixed,"Little Rock, AR",BC,S,,,
Mun,Presomnia,September 4,LP,"Prog-metal, Stoner metal, Psychedelic rock",Mixed,"Wrocław, Poland",BC,S,,,
Cloudkicker,Solitude,September 4,LP,"Prog-metal, Post-rock, Ambient",Instrumental,"Columbus, OH",BC,S,,,
Aisumasen,Tunguska,September 4,LP,"Post-metal, Doom metal, Sludge metal",Mixed,"Göteborg, Sweden",BC,S,YT,,
Distant Dream,Point Of View,September 5,LP,"Post-metal, Ambient, Djent",Instrumental,Poland,BC,S,YT,,
Jupiterian,Protosapien,September 11,LP,"Atmospheric Sludge metal, Doom metal",Harsh,"São Paulo, Brazil",BC,S,YT,,
Spectrum of Delusion,Neoconception,September 11,LP,"Prog-metal, Technical Death metal",Harsh,"Katwijk, Netherlands",BC,S,YT,,
Ihsahn,Pharos,September 11,EP,"Prog-metal, Black metal, Experimental",Clean,"Notodden, Norway",,S,,,
Mastodon,Medium Rarities,September 11,LP,"Prog-metal, Sludge metal",Mixed,"Atlanta, GA",,S,,,
Dephosphorus,Sublimation,September 11,LP,"Grindcore, Death metal, Sludge metal",Harsh,"Athens, Greece",BC,,,,
Pull Down the Sun,Of Valleys and Mountains ,September 12,LP,"Prog-metal, Sludge metal",Mixed,"Whanganui, New Zealand",BC,S,YT,,
Cosmic Rain,Heliopolis,September 15,EP,Prog-metal,Mixed,"Genève, Switzerland",,S,YT,,
Heathen,Empire of the Blind,September 18,LP,Thrash metal,Mixed,"San Francisco, CA",BC,S,,,
Derek Sherinian,The Phoenix,September 18,LP,"Prog-metal, Virtuoso",Instrumental,"Laguna Beach, CA",,S,,,
Dynfari,Myrkurs er þörf,September 18,LP,"Atmospheric Black metal, Post-rock",Mixed,Iceland,BC,S,,,
Hidden Mothers,Hidden Mothers,September 18,EP,"Post-black metal, Shoegaze",Mixed,"Sheffield, UK",BC,S,,,
Napalm Death,Throes of Joy in the Jaws of Defeatism,September 18,LP,"Grindcore, Death metal",Harsh,"Birmingham, UK",,S,,,
Fawn Limbs,Sleeper Vessels,September 18,LP,"Mathcore, Grindcore, Dissonant",Harsh,"Pennsylvania, PA",BC,S,YT,,
Naisian,Metal,September 18,LP,"Prog-metal, Sludge metal, Post-metal",Mixed,"Sheffield, UK",BC,S,,,
SUNDR,Solar Ships,September 18,LP,"Post-metal, Atmospheric Sludge metal",Harsh,"Melbourne, Australia",BC,S,,,
Fires in the Distance,Echoes From Deep November,September 18,LP,"Prog-metal, Melodic Death metal, Doom metal",Harsh,"Newington, CT",BC,S,YT,,
Panzerballett,Planet Z,September 18,LP,"Prog-metal, Avant-garde metal, Jazz Fusion",Instrumental,"Munich, Germany",,S,,,
Rogue,Aeon,September 18,EP,"Prog-metal, Metalcore",Mixed,"Lafayette, LA",BC,S,,,
Sunken,Livslede,September 18,LP,Atmospheric Black metal,Harsh,"Aarhus, Denmark",BC,S,,,
Cody Clegg,Tomorrow Is Moments Away,September 18,EP,Prog-metal,Instrumental,"Brooklyn, NY",BC,S,YT,,
Chaosbay,Asylum,September 18,LP,Prog-metal,Mixed,"Berlin, Germany",BC,S,YT,,
Ayreon,Transitus,September 25,LP,"Prog-metal, Rock Opera, Symphonic",Mixed,Netherlands,BC,S,,,
The Ocean,Phanerozoic II: Mesozoic | Cenozoic,September 25,LP,"Prog-metal, Post-metal",Mixed,"Berlin, Germany",BC,S,YT,,
Svalbard,"When I Die, Will I Get Better?",September 25,LP,"Post-hardcore, Crust Punk",Mixed,"Bristol, UK",BC,S,,,
Obsidian Kingdom,Meat Machine,September 25,LP,"Prog-metal, Post-metal, Experimental",Mixed,"Barcelona, Spain",BC,S,YT,,
Vous Autres,Sel de Pierre,September 25,LP,"Post-black metal, Atmospheric Sludge metal",Harsh,"Nantes, France",BC,S,YT,,
Chrome Waves,Where We Live,September 25,LP,"Post-black metal, Shoegaze",Mixed,"Indianapolis, IN",BC,S,,,
The Reticent,The Oubliette,September 25,LP,Prog-metal,Mixed,"Charlotte, NC",BC,S,YT,,
Deftones,Ohms,September 25,LP,"Alt-metal, Shoegaze",Clean,"Sacramento, CA",,S,,,
Madrost,Charring The Rotting Earth,September 25,LP,"Prog-metal, Thrash metal",Harsh,"Lake Forest, CA",BC,S,,,
Dwarrowdelf,Evenstar,September 25,LP,"Atmospheric Black metal, Melodic Death metal",Mixed,"Southampton, UK",BC,S,,,
Sacred Outcry,Damned For All Time,September 25,LP,"Power metal, Epic metal",Clean,Greece,BC,S,,,
Illuminated Minerva,Enigma Adamantine,September 25,LP,Prog-metal,Instrumental,"Calgary, AB",BC,S,,,
Hateful,Set Forever On Me,September 25,LP,Technical Death metal,Harsh,"Modena, Italy",BC,S,YT,,
Lethian Dreams,A Shadow Of Memories,September 25,LP,Atmospheric Doom metal ,Clean,France,BC,S,,,
Skáphe,Skáphe³,September 30,LP,Psychedelic Black metal,Harsh,"Philadelphia, PA",BC,,,,
Serpent Column,Kathodos,September 30,LP,"Prog-metal, Black metal, Mathcore",Harsh,USA,BC,S,,,
REZN,Chaotic Divine,October 1,LP,"Doom metal, Heavy Psych",Clean,"Chicago, IL",BC,S,,,
Bound,Haunts,October 1,LP,"Post-metal, Shoegaze, Alt-rock",Clean,"Washington, DC",BC,S,YT,,
Greg Puciato,Child Soldier: Creator of God,October 1,LP,"Mathcore, Doom metal, Grunge",Mixed,"Los Angeles, CA",BC,S,,,
Enslaved,Utgard,October 2,LP,"Prog-metal, Black metal",Mixed,"Bergen, Norway",BC,S,,,
Anaal Nathrakh,Endarkenment,October 2,LP,"Black metal, Grindcore, Industrial",Mixed,"Birmingham, UK",BC,S,YT,,
Briqueville,Quelle,October 2,LP,"Atmospheric Sludge metal, Psychedelic metal",Instrumental,"Temse, Belgium",BC,S,,,
Arch Echo,Story I,October 2,EP,"Prog-metal, Jazz Fusion",Instrumental,"Nashville, TN",BC,S,YT,,
Skyless Aeons,Drain the Sun,October 2,LP,"Prog-metal, Melodic Death metal, Dissonant",Harsh,"London, ON",BC,S,,,
SUMAC,May You Be Held,October 2,LP,"Post-metal, Atmospheric Sludge metal",Harsh,"Vashon, WA",BC,,,,
Amiensus,Abreaction,October 2,LP,"Prog-metal, Black metal",Mixed,"Rochester, MN",BC,S,,,
Dialogia,Nostrum,October 2,LP,"Prog-metal, Death metal, Doom metal",Mixed,"Maryland, MD",BC,S,,,
Sordid Pink,Sordid Pink,October 4,LP,Prog-metal,Clean,"Beograd, Serbia",BC,S,YT,,
Helion Prime,Question Everything,October 5,LP,"Prog-metal, Power metal",Clean,"Sacramento, CA",,S,,,
Centre Piece,Lullaby,October 7,LP,"Prog-metal, Alt-rock",Clean,"Youngstown, OH",BC,S,,,
La Fin,The Endless Inertia,October 9,LP,Post-metal,Mixed,"Milan, Italy",BC,S,,,
Gargoyl,Gargoyl,October 9,LP,"Prog-metal, Grunge, Jazz",Clean,"Boston, MA",BC,S,YT,,
Radiant Knife,The Ghost,October 9,EP,"Prog-metal, Sludge metal, Shoegaze",Mixed,"Lafayette, LA",BC,S,,,
DGM,Tragic Separation,October 9,LP,Prog-metal,Clean,Italy,,S,,,
Dysylumn,Cosmogonie,October 9,LP,"Atmospheric Black metal, Death metal",Harsh,"Lyon, France",BC,S,,,
Empress,Premonition,October 9,LP,"Prog-metal, Doom metal, Sludge metal",Mixed,"Vancouver, BC",BC,S,YT,,
Inferi,Of Sunless Realms,October 9,EP,"Technical Death metal, Melodic Death metal",Harsh,"Nashville, TN",BC,S,YT,,
Teramaze,I Wonder,October 9,LP,Prog-metal,Mixed,"Melbourne, Australia",BC,S,,,
Scaphoid,Absent Passages,October 9,LP,"Prog-metal, Post-metal, Post-rock",Instrumental,"Austin, TX",BC,S,,,
Oria,Sublimation​(​s),October 9,LP,"Prog-metal, Groove metal",Mixed,"Thessaloniki, Greece",BC,S,YT,,
Cellar Vessel,Vein Beneath The Soil,October 14,LP,"Prog-metal, Death metal, Symphonic Black metal",Harsh,"Bozeman, MT",BC,S,,,
Falset,We Follow or Lead the Way,October 16,LP,"Prog-metal, Djent, metalcore, modern rock",Mixed,Canada,,S,,,
Molassess,Through the Hollow,October 16,LP,"Prog-metal, Psychedelic rock",Clean,Netherlands,BC,S,YT,,
Calyces,Impulse to Soar,October 16,LP,"Prog-metal, Sludge metal",Mixed,"Athens, Greece",BC,S,YT,,
Siderean,Sidereal Evolution,October 16,EP,"Prog-metal, Death metal",Harsh,Slovenia,BC,,YT,,
Chaos Divine,Legacies,October 16,LP,"Prog-metal, Melodic Death metal",Mixed,"Perth, Australia",BC,S,,,
Wayfarer,A Romance With Violence,October 16,LP,Atmospheric Black metal,Harsh,"Denver, CO",BC,S,YT,,
Spirit Adrift,Enlightened In Eternity,October 16,LP,"Prog-metal, Heavy metal",Clean,"Austin, TX",BC,S,,,
Maladie,The Grand Aversion,October 16,LP,"Prog-metal, Black metal",Mixed,"Ludwigshafen, Germany",BC,S,,,
Autocatalytica,Powerclashing Maximalism,October 16,LP,"Prog-metal, Avant-garde metal, Mathcore",Mixed,"Toronto, ON",BC,S,,,
Perennial Quest,Perennial Quest,October 16,EP,"Prog-metal, Power metal",Clean,"Boston, MA",BC,S,,,
Celaris,In Hiding,October 16,LP,"Prog-metal, Metalcore, Djent",Mixed,"Chapel Hill, NC",BC,S,,,
The Myopia Condition,Event Horizon,October 16,LP,"Prog-metal, Deathcore, Djent",Harsh,"Red Deer, AB",BC,S,,,
Takatak,Acrophase,October 16,LP,Prog-metal,Mixed,"Lahore, Pakistan",BC,S,,,
Drastic of Sorts,Drastic of Sorts,October 17,LP,Prog-metal,Clean,USA,,S,,,
James Norbert Ivanyi,Omen Faustum,October 20,LP,Prog-metal,Instrumental,"Sydney, Australia",BC,S,,,
Wake,Confluence,October 20,EP,"Black metal, Grindcore, Post-metal",Harsh,"Calgary, AB",BC,S,,,
Sindar,Splintered Light,October 21,LP,Prog-metal,Mixed,"Salt Lake City, UT",BC,S,,,
Mors Principium Est,Seven,October 23,LP,Melodic Death metal,Mixed,Finland,,S,,,
Pallbearer,Forgotten Days,October 23,LP,Doom metal,Clean,"Little Rock, AR",BC,S,,,
Coexistence,Collateral Dimension,October 23,LP,"Prog-metal, Technical Death metal",Harsh,"Siena, Italy",BC,S,,,
Counting Hours,The Will,October 23,LP,"Atmospheric Doom metal, Depressive Rock",Mixed,"Helsinki, Finland",BC,S,,,
Atlases,Woe Portrait,October 23,LP,Post-metal,Mixed,"Pori, Finland",BC,S,,,
Kevel,Mutatis Mutandis,October 23,LP,"Prog-metal, Black metal, Sludge metal",Harsh,"Athens, Greece",BC,S,,,
Bleakheart,Dream Griever,October 23,LP,"Doom metal, Shoegaze, Psychedelic rock",Mixed,"Denver, CO",BC,S,,,
Zeal and Ardor,Wake of a Nation,October 23,EP,"Black metal, Soul, Experimental",Mixed,"New York, NY",BC,S,,,
Rïcïnn,Nereïd,October 23,LP,"Neoclassical Darkwave, Avant-garde",Clean,France,BC,S,YT,,
Soul Secret,Blue Light Cage,October 23,LP,Prog-metal,Clean,"Napoli, Italy",BC,S,,,
White Walls,Grandeur,October 23,LP,Prog-metal,Mixed,"Constanța, Romania",BC,S,YT,,AM
Kraken Duumvirate,"The Stars Below, The Seas Above",October 23,LP,"Doom metal, Black metal",Harsh,Finland,BC,S,,,
Torrential Downpour,TwentyTwentyTwenty,October 23,LP,Prog-metal,Mixed,"Haworth, NJ",BC,S,,,
Defecto,Duality,October 23,LP,Prog-metal,Clean,"Copenhagen, Denmark",BC,S,,,
Entropy Created Consciousness,Antica Memoria di Dis: Acheron,October 23,EP,"Atmospheric Black metal, Avant-garde metal",Harsh,,BC,S,,,
Entropy Created Consciousness,Antica Memoria di Dis: Lethe,October 23,EP,"Atmospheric Black metal, Avant-garde metal",Harsh,,BC,S,,,
Vultress,Hypnopompia,October 23,LP,"Prog-metal, Art-rock",Clean,"Valparaiso, IN",BC,S,,,
Desolate Blight,Nostalgic Dread,October 27,LP,"Prog-metal, Deathcore, Post-metal",Mixed,"San Antonio, TX",BC,S,,,
Khaima,Owing To The Influence,October 30,LP,"Prog-metal, Alt-rock, Psychedelic rock",Mixed,"Saarbrücken, Germany",BC,S,,,
Draconian,Under A Godless Veil,October 30,LP,"Doom metal, Gothic metal",Mixed,"Säffle, Sweden",BC,S,,,
