2023 Progressive Rock Albums,,Releases:,1065,"Sort by Artist, Vocal Style, or Genre:
Data -> Filter views... -> ...
Or create your own Filter View:
Data -> Filter views... -> Create a new filter view","Collaborators: 
         FranticDav | Faceless_Aeons
tapestrymusicpodcast | ickybus
  Vortexpro000 | theSmilingCow
   PyroL | Fayiron
Unsinful",,,Images & Words: The Prog Discord,,,
Eye of Aquila,Diviniis Requiem,March 15,LP,"Stoner rock, Heavy Psych",Clean,"Merced, CA",BC,S,,,
Ascher,Beginnings,March 15,LP,Prog-rock,Clean,"Fort Walton, FL",BC,S,,,
Thirteen of Everything,Time and Other Delusions,March 16,LP,"Prog-rock, Symphonic Prog",Clean,"Austin, TX",BC,S,,,
Pop Evil,Skeletons,March 17,LP,"Pop rock, Alt-metal",Mixed,"North Muskegon, MI",BC,S,,,
Fargo,Geli,March 17,LP,Post-rock,Instrumental,"Leipzig, Germany",BC,S,,,
The Van Pelt,Artisans & Merchants,March 17,LP,"Indie rock, Midwest Emo",Clean,"New Jersey, NJ",BC,S,,,
Flyying Colours ,You Never Know,March 17,LP,"Psychedelic rock, Dream Pop, Shoegaze",Clean,"Melbourne, Australia",BC,S,,,
The New Death Cult,Super Natural,March 17,LP,Alt-rock,Clean,"Oslo, Norway",BC,S,,,
Unknown Mortal Orchestra,V,March 17,LP,"Psychedelic rock, Neo-Psychedelia, Indie Pop",Clean,"Portland, OR",BC,S,,,
Deep Cross,Royal Water,March 17,LP,"Experimental rock, Post-Punk, Industrial",Mixed,"Austin, TX",BC,S,,,
Grub Nap,God Pile,March 17,EP,"Noise rock, Hardcore",Harsh,UK,BC,S,,,
deathcrash,Less,March 17,LP,"Post-rock, Slowcore",Mixed,"London, UK",BC,S,,,
Demolished Men,In a Violent Way,March 17,EP,"Prog-rock, Jazz Fusion",Instrumental,UK,BC,S,,,
Gentle Beast,Gentle Beast,March 17,LP,Stoner rock,Clean,"Basel, Switzerland",BC,S,,,
Mice on Stilts,I Am Proud of You,March 17,LP,"Prog-rock, Art rock",Clean,"Auckland, New Zealand",BC,S,,,
Jason Blake,Subsequent Ruins,March 17,LP,Prog-rock,Instrumental,"Chicago, IL",BC,S,,,
Missing Jack & The Kameleons,Human Cycle,March 17,LP,Psychedelic rock,Clean,"Toulouse, France",BC,,,,
Green Yeti,Necropolitan,March 17,LP,"Stoner rock, Heavy Psych",Clean,"Athens, Greece",BC,S,,,
RPWL,Crime Scene,March 17,LP,Prog-rock,Clean,Germany,BC,S,,,
Kinetic Element,Chasing The Lesser Light,March 20,LP,"Prog-rock, Symphonic Prog",Clean,"Richmond, VA",BC,S,,,
Karfagen,Birds,March 21,LP,"Prog-rock, Symphonic rock",Clean,Ukraine,BC,S,,,
Telefone,Telefone,March 22,LP,"Pop rock, Power Pop",Clean,"Austin, TX",BC,S,,,
"Endless, Nameless",Living Without,March 24,LP,"Noise rock, Math rock",Mixed,"Denver, CO",BC,S,,,
Basil's Kite,Shooting Tsars,March 24,LP,"Prog-rock, Mathcore, Jazz Fusion",Mixed,"Sydney, Australia",BC,S,,,
Purling Hiss,Drag On Girard,March 24,LP,Indie rock,Clean,"Philadelphia, PA",BC,S,,,
Les Dunes ,Les Dunes,March 24,LP,"Prog-rock, Post-rock",Instrumental,"Haugesund, Norway",BC,S,,,
Grande Royale,Welcome To Grime Town,March 24,LP,Hard rock,Clean,Sweden,BC,S,,,
Adam Spry,Slightly Off Kilter,March 24,LP,"Alt-rock, Indie rock, Singer/Songwriter",Clean,"San Francisco, CA",BC,S,,,
Arhios,Miscible,March 24,LP,Math rock ,Instrumental,"Rennes, France",BC,S,,,
Exploring Birdsong,Dancing in the Face Of Danger,March 24,EP,Prog-rock,Clean,"Liverpool, UK",BC,S,,,
OTTTO,Life is a Game,March 24,LP,Hard rock,Clean,"Los Angeles, CA",BC,S,,,
Hypnodrone Ensemble,The Signal In The Signal,March 24,LP,"Post-rock, Krautrock, Drone",Instrumental,"Berlin, Germany",BC,S,,,
The Bouncing Souls,Ten Stories High,March 24,LP,"Punk rock, Pop Punk",Clean,"Asbury Park, NJ",BC,S,,,
The Silversound,The Silversound,March 24,LP,Psychedelic rock,Clean,"Melbourne, Australia",BC,S,,,
The Black Cat's Eye,The Empty Space Between A Seamount And Shock-Headed Julia,March 24,LP,Psychedelic rock,Clean,"Frankfurt, Germany",BC,S,,,
Secret Machines,"The Moth, The Lizard, And The Secret Machines",March 24,LP,Alt-rock,Clean,"New York, NY",BC,S,,,
The Turin Horse,Unsavory Impurities,March 24,LP,Noise rock,Harsh,"Turin, Italy",BC,S,,,
Sire,III: Silhouettes,March 24,LP,Post-rock,Instrumental,"Örebro, Sweden",BC,S,,,
Megaride,Mò,March 24,LP,Stoner rock,Clean,"Naples, Italy",BC,S,,,
Annabel Lee,Drift,March 24,LP,"Garage rock, Indie Pop",Clean,"Brussels, Belgium",BC,S,,,
Spaceships,Ruins,March 24,LP,"Post-rock, Alt-rock, Doomgaze",Mixed,"South Bend, IN",BC,S,,,
Timelapse Aurora,"In Defeat, I See the Future",March 24,LP,"Psychedelic rock, Post-rock",Instrumental,"Milan, Italy",BC,S,,,
MIIRRORS,Motion and Picture,March 24,LP,"Indie rock, Shoegaze",Clean,"Chicago, IL",BC,S,,,
Masters of the Revels,Alone in the Universe,March 24,LP,"Alt-rock, Grunge",Clean,"Schwyz, Switzerland",BC,S,,,
"Black Country, New Road",Live at Bush Hall,March 24,LP,"Experimental rock, Post-Punk",Clean,"London, UK",BC,S,YT,,
Nickel Creek,Celebrants,March 24,LP,"Bluegrass, Folk",Clean,"California, CA",BC,S,,,
Softcult,See You In The Dark,March 24,EP,"Indie rock, Dream Pop, Shoegaze",Clean,Canada,BC,S,,,
Only,Firefly,March 25,LP,Prog-rock,Instrumental,"Redmond, WA",BC,,,,
Parannoul,After the Night,March 25,LP,"Art rock, Indie rock, Shoegaze",Clean,"Seoul, South Korea",BC,S,,,
Ian Foster,Close to the Bone,March 29,LP,"Singer/Songwriter, Alt-rock, Folk",Clean,"St. John's, Canada",BC,S,,,
Ajeeb,Refractions,March 29,LP,"Alt-rock, Noise rock, Post-Grunge",Mixed,"Lanzarote, Spain",BC,S,,,
Blak and MYY.,"Void, along with me",March 30,LP,Post-rock,Instrumental,Spain / Japan,BC,S,,,
Resilia ,Well Intentioned: The Name of The Game,March 31,EP,"Prog-rock, Post-Hardcore",Mixed,"Los Angeles, CA",BC,S,,,
Empyre,Relentless,March 31,LP,"Prog-rock, Alt-rock",Clean,"Northampton, UK",BC,S,,,
Ellereve,Reminiscence,March 31,LP,"Dark rock, Gothic Pop",Clean,"Munich, Germany",BC,S,YT,,
The Hold Steady,The Price of Progress,March 31,LP,Indie rock,Clean,"Brooklyn, NY",BC,S,,,
Quentin Sauvé ,Enjoy The View,March 31,LP,"Alt-rock, Singer/Songwriter",Clean,"Laval, France",BC,S,YT,,
Overhead,Telepathic Minds,March 31,LP,"Prog-rock, Symphonic rock, Heavy Prog",Clean,"Helsinki, Finland",BC,S,,,
The Zombies,Different Game,March 31,LP,"Psychedelic rock, Pop rock",Clean,UK,BC,S,,,
Netherlands,Severance,March 31,LP,Noise rock,Mixed,"Brooklyn, NY",BC,S,,,
Deerhoof,Miracle-Level,March 31,LP,"Experimental rock, Indie rock, Noise Pop",Clean,"San Francisco, CA",BC,S,,,
City and Colour,The Love Still Held Me Near,March 31,LP,"Singer/Songwriter, Indie rock",Clean,"St. Catharines, Canada",BC,S,,,
Boygenius,The Record,March 31,LP,"Singer/Songwriter, Indie rock",Clean,USA,BC,S,,,
Matt Elliott,The End of Days,March 31,LP,"Singer/Songwriter, Contemporary Folk",Clean,France,BC,S,,,
The Lucky Shots,Count to Nothing,March 31,LP,"Singer/Songwriter, Indie rock",Clean,"Massachusetts, MA",BC,S,,,
Bermud,Chetter Hummin,March 31,LP,"Psychedelic rock, Indie rock",Clean,France,BC,S,YT,,
Mammal Hands,Gift from the Trees,March 31,LP,Crossover Jazz,Instrumental,"Norwich, UK",BC,S,YT,,
Tape Runs Out,Floodhead,March 31,LP,"Indie rock, Dream Pop, Shoegaze",Clean,"Cambridge, UK",BC,S,,,
Bennett Wilson Poole,"I Saw A Star Behind Your Eyes, Don't Let It Die Away",March 31,LP,"Folk rock, Americana",Clean,UK,BC,S,,,
Ampacity ,IV,March 31,LP,Space rock,Instrumental,"Gdynia, Poland",BC,S,YT,,
Samiam,Stowaway,March 31,LP,"Punk rock, Pop Punk, Emo",Clean,"Berkeley, CA",BC,S,,,
Lies,Lies,March 31,LP,Art rock,Clean,"New York, NY",BC,S,,,
Morrison Graves,Division Rising,March 31,LP,Psychedelic rock,Clean,"Oregon, OR",BC,S,,,
Loins,Loins,March 31,EP,"Noise rock, Post-Punk",Mixed,"Helsinki, Finland",BC,S,,,
The Classic Crime,Grim Age,March 31,LP,Alt-rock,Clean,"Seattle, WA",BC,S,,,
Heezer,Sungrinder,March 31,LP,"Stoner rock, Grunge rock",Clean,"Lappeenranta, Finland",BC,S,,,
Altin Gün,Aşk,March 31,LP,"Anatolian rock, Turkish Psychedelic",Clean,"Amsterdam, Netherlands",BC,S,YT,,
Legacy Pilots,Helix,March 31,LP,Prog-rock,Clean,"Hamburg, Germany",BC,S,,,
Kilmore,From The Inside,March 31,LP,"Stoner rock, Hard rock",Clean,"Halifax, Canada",BC,S,,,
Loose Ends,A Blatant Reaction,March 31,LP,"Post-Punk, Noise rock",Clean,"Aarhus, Denmark",BC,S,,,
Slumbercloud,Human Problem,March 31,EP,"Psychedelic rock, Punk rock, Grunge",Clean,"Groningen, Netherlands",BC,S,,,
Fake Pollocks,The Flashlight,March 31,EP,"Indie rock, Punk",Clean,"New York, NY",BC,S,,,
Pennies by the Pound,Nothingside,March 31,LP,Prog-rock,Clean,"Helsinki, Finland",BC,S,,,
The Adekaem,All The Dreams,March 31,LP,Prog-rock,Clean,"Katowice, Poland",BC,,,,
Dead Shaman,Under the Influence,March 31,LP,Stoner rock,Clean,Switzerland,BC,S,,,
Paddang,Chasing Ghosts,March 31,LP,Post-Punk,Clean,"Toulouse, France",BC,S,,,
Golden Hours,Golden Hours,March 31,LP,Psychedelic rock,Clean,"Berlin, Germany",BC,S,,,
POLT.,"While I Am Decaying Like A Rotten Thing, Like A Garment That Is Moth-Eaten",March 31,LP,"Experimental rock, Post-rock",Instrumental,"Seattle, WA",BC,,,,
Mount Atlas,Poseidon,March 31,LP,Hard rock,Clean,Germany,BC,S,,,
Outstation,The Shores Of Time,March 31,LP,Prog-rock,Clean,UK,BC,,,,
Crown Lands,Fearless,March 31,LP,"Prog-rock, Blues rock",Clean,"Oshawa, Canada",BC,S,,,
Pleasures,Torture Triangle,March 31,LP,"Psychedelic rock, Progressive Pop",Clean,"St. Petersburg, FL",BC,S,,,
BINGE,Toothache,April 1,LP,"Prog-rock, Math rock",Instrumental,"Manchester, UK",BC,S,,,
Shem,III,April 1,LP,"Psychedelic rock, Space rock",Instrumental,"Stuttgart, Germany",BC,,,,
Then They Flew,On the Shortness of Life,April 1,LP,Post-rock,Instrumental,"Lisbon, Portugal",BC,S,,,
Hazeshuttle,Hazeshuttle,April 1,LP,"Psychedelic rock, Stoner rock",Instrumental,"Ingolstadt, Germany",BC,S,,,
M-Opus,At The Mercy Of Manannán,April 3,LP,Prog-rock,Clean,"Dublin, Ireland",BC,S,,,
Marco Ragni,Illusory Motion,April 4,LP,Prog-rock,Clean,Italy,BC,,,,
Buck Gooter,Ghost Brain,April 4,LP,Electronic rock,Clean,"Harrisonburg, VA",BC,S,,,
Ghostmeat,Witch's Familiar,April 4,LP,Psychedelic rock,Clean,"Vancouver, Canada",BC,S,,,
Aisles,Beyond Drama,April 5,LP,"Prog-rock, Art rock",Clean,Chile,BC,S,,,
SPEkTR,Mirage,April 5,LP,"Prog-rock, Surf Punk",Instrumental,"Copenhagen, Denmark",BC,S,,,
Liquid Stella,Authentic,April 5,LP,Jazz Fusion,Instrumental,Japan,BC,S,,,
The Supervoid Choral Ensemble,The Supervoid Choral Ensemble,April 5,EP,"Prog-rock, Math rock, Skramz",Instrumental,"New York, NY",BC,S,,,
Bruiser and Bicycle,Holy Red Wagon,April 5,LP,"Prog-rock, Art Pop, Psychedelic Folk",Clean,"Albany, NY",BC,S,,,
Matt Dorsey,Let Go,April 7,LP,Prog-rock,Clean,"Orange County, CA",BC,S,,,
Wednesday,Rat Saw God,April 7,LP,"Indie rock, Alt-Country, Shoegaze",Clean,"Asheville, NC",BC,S,,,
Worriers,Warm Blanket,April 7,LP,"Indie rock, Power Pop",Clean,"Brooklyn, NY",BC,S,,,
Mudhoney,Plastic Eternity,April 7,LP,"Garage rock, Grunge",Clean,"Seattle, WA",BC,S,,,
Paul Gilbert,The Dio Album,April 7,LP,Hard rock,Instrumental,"Portland, OR",BC,S,,,
Mast Year,Knife,April 7,LP,"Post-Hardcore, Noise rock",Mixed,"Baltimore, MD",BC,S,,,
Issei Herr,Distant Intervals,April 7,LP,Classical,Instrumental,"Brooklyn, NY",BC,S,,,
The Whags,Routine for Now,April 7,LP,"Psychedelic rock, Funk, Jam",Clean,"Seattle, WA",BC,S,,,
Covet,Catharsis,April 7,LP,"Prog-rock, Math rock",Instrumental,"California, CA",BC,S,,,
FACS,Still Life In Decay,April 7,LP,"Experimental rock, Post-Punk",Clean,"Chicago, IL",BC,S,,,
ISON,Stars & Embers,April 7,LP,"Post-rock, Doomgaze, Ambient",Clean,"Gothenburg, Sweden",BC,S,,,
Where Mermaids Drown,Reminisce,April 7,LP,Post-rock,Instru./Clean,"Lyon, France",BC,S,,,
Amoeba Split,Quiet Euphoria,April 7,LP,"Prog-rock, Jazz rock, Canterbury",Instrumental,Spain,BC,S,,,
Amplifier,Hologram,April 7,EP,Prog-rock,Clean,"Manchester, UK",BC,S,YT,,
Godsleep,Lies to Survive,April 7,LP,Stoner rock,Clean,"Athens, Greece",BC,S,,,
Nutana,Nutana,April 7,LP,"Folk rock, Blues rock",Clean,Canada,BC,S,,,
Kite Parade,Retro,April 7,LP,Prog-rock,Clean,UK,BC,,,,
Daughter,Stereo Mind Game,April 7,LP,"Indie rock, Dream Pop, Art Pop",Clean,"London, UK",,S,,,
HMLTD,The Worm,April 7,LP,"Prog-rock, Art rock",Clean,"London, UK",BC,S,,,
Sarah and the Safe Word,The Book Of Broken Glass,April 7,LP,"Alt-rock, Dark Cabaret",Clean,"Atlanta, GA",BC,S,,,
The Laconic,Amor Fati,April 8,LP,Prog-rock,Instrumental,"Chicago, IL",BC,S,,,
Anoice,Unerasable Fire,April 8,EP,"Post-rock, Modern Classical",Instrumental,"Tokyo, Japan",BC,S,,,
Temples,Exotico,April 14,LP,"Psychedelic rock, Neo-Psychedelia",Clean,UK,BC,S,,,
Lucifer Star Machine,Satanic Age,April 14,LP,"Punk rock, Hard rock",Clean,"Hamburg, Germany",BC,S,,,
Jason Bieler And The Baron Von Bielski Orchestra,Postcards From The Asylum,April 14,LP,"Prog-rock, Hard rock",Clean,"Pompano Beach, FL",BC,S,,,
The Infinity Ring,Nemesis & Nativity,April 14,LP,"Post-rock, Dark Folk",Clean,"Boston, MA",BC,S,YT,,
Poison Ruïn,Härvest,April 14,LP,"Post-Punk, Deathrock",Clean,"Philadelphia, PA",BC,S,YT,,
The Black Delta Movement,Recovery Effects,April 14,LP,Psychedelic rock,Clean,UK,BC,S,,,
FEWS,Glass City,April 14,LP,"Post-Punk, Shoegaze",Clean,"Malmö, Sweden",BC,S,,,
Angel Olsen,Forever Means,April 14,EP,"Singer/Songwriter, Indie rock",Clean,"Asheville, NC",BC,S,,,
Ghosts on TV,Ghosts on TV,April 14,LP,"Post-rock, Indie rock",Clean,"Helsinki, Finland",BC,S,,,
Storm Orchestra,What A Time To Be Alive,April 14,LP,Alt-rock,Clean,"Paris, France",BC,S,,,
Gnarwhal,Gnarwhal,April 14,LP,Stoner rock,Clean,"Yellowknife, Canada",BC,S,,,
Milana,Milvus,April 14,LP,"Stoner rock, Heavy Psych",Clean,"Palma, Spain",BC,S,,,
Vesuvian,More Treble,April 14,LP,Indie rock,Clean,"Philadelphia, PA",BC,S,,,
GoGo Penguin ,Everything Is Going to Be OK,April 14,LP,Jazz,Instrumental,"Manchester, UK",,S,,,
Heavy Sleeper,Chime,April 14,EP,"Alt-rock, Shoegaze",Clean,"Boston, MA",BC,S,,,
Pynch,Howling At A Concrete Moon,April 14,LP,"Indie rock, Neo-Psychedelia",Clean,"London, UK",BC,S,,,
Space Paranoids,Badlands Ride,April 18,LP,Stoner rock,Clean,"Cuneo, Italy",BC,S,,,
Deep Space Destructors,Voyage to Innerspace,April 19,LP,"Prog-rock, Psychedelic rock, Space rock",Clean,"Oulu, Finland",BC,,,,
Fuzz Lightyear,Fuzz Lightyear,April 20,LP,Heavy Psych,Clean,"Austin, TX",BC,,,,
Swanmay,Frantic Feel,April 20,LP,Stoner rock,Clean,"Linz, Austria",BC,S,,,
Ruby Dawn,Beyond Tomorrow,April 20,LP,Prog-rock,Clean,"Wokingham, UK",BC,,,,
Echoes and Signals,Lunar,April 20,LP,Prog-rock,Clean,"Tula, Russia",BC,S,,,
Enter Shikari,A Kiss for the Whole World,April 21,LP,"Post-Hardcore, Alt-rock, Electronic",Mixed,UK,,S,,,
Maktkamp,Caps Lock Woke Rock,April 21,LP,Hard rock,Mixed,"Oslo, Norway",,S,,,
Rose City Band,Garden Party,April 21,LP,"Country rock, Neo-Psychedelia",Clean,"Portland, OR",BC,S,,,
Floodlights ,Painting of My Time,April 21,LP,Indie rock,Clean,"Melbourne, Australia",BC,S,,,
Cinder Well,Cadence,April 21,LP,"Singer/Songwriter, Chamber Folk",Clean,"Clare, UK",BC,S,,,
Rodrigo y Gabriela,In Between Thoughts... A New World,April 21,LP,Acoustic rock,Instrumental,Mexico,BC,S,,,
Dommengang,Wished Eye,April 21,LP,"Blues rock, Heavy Psych",Clean,"Portland, OR",BC,S,,,
Moody Beaches,Acid Ocean,April 21,LP,"Post-Punk, Grunge rock",Clean,"Melbourne, Australia",BC,S,,,
Dozer,Drifting in the Endless Void,April 21,LP,Stoner rock,Clean,"Borlänge, Sweden",BC,S,,,
Cathedrale,Words / Silence,April 21,LP,"Garage rock, Post-Punk",Clean,"Toulouse, France",BC,S,YT,,
Black Moon Circle,Leave the Ghost Behind,April 21,LP,"Psychedelic rock, Space rock",Clean,"Trondheim, Norway",BC,S,,,
Wolfnaut,Return of the Asteroid,April 21,LP,"Hard rock, Stoner rock",Clean,Norway,BC,S,YT,,
Dorthia Cottrell,Death Folk Country,April 21,LP,Contemporary Folk,Clean,"Richmond, VA",BC,S,YT,,
ALL HANDS_MAKE LIGHT,Darling The Dawn,April 21,LP,"Post-rock, Drone, Electronic",Clean,"Montreal, Canada",BC,S,,,
Tanith,Voyage,April 21,LP,"Hard rock, Heavy metal",Clean,"Brooklyn, NY",BC,S,,,
Terms,All Becomes Indistinct,April 21,LP,"Math rock, Brutal Prog",Instrumental,"St. Louis, MO",BC,S,,,
Night Fishing,Live Bait,April 21,EP,Psychedelic rock,Instrumental,"Denver, CO",BC,S,,,
Hippie Hourrah,Exposition Individuelle,April 21,LP,Psychedelic rock,Clean,"Montreal, Canada",BC,S,,,
El Caco,Uncelebration,April 21,LP,"Stoner rock, Hard rock",Clean,"Lillestrøm, Norway",BC,S,,,
The Mars Volta,Que Dios Te Maldiga Mi Corazon,April 21,LP,"Prog-rock, Acoustic",Clean,"El Paso, TX",BC,S,,,
Count Hamilton,Gnomeboy,April 21,LP,"Jazz rock, Indie rock",Clean,"Vermont, VT",BC,S,,,
Sign Language,Madison & Floral,April 21,LP,"Alt-rock, Shoegaze, Grunge",Clean,"Cincinnati, OH",BC,S,,,
Grave Pleasures,Plagueboys,April 21,LP,"Post-Punk, Deathrock",Clean,"Tampere, Finland",,S,,,
Perma Grin,Ode To Entropy,April 21,LP,Prog-rock,Clean,"West Brookfield, MA",BC,S,,,
Ogives,La Mémoire des Orages,April 21,LP,"Prog-rock, Post-rock, Jazz, Chamber",Instru./Clean,"Liège, Belgium",BC,S,,,
Ox en Mayo Alto,"Vulpes: del fuego, quebrador del Hielo 9",April 21,EP,"Post-rock, Math rock, Shoegaze",Clean,"Córdoba, Argentina",BC,S,,,
Wakki,Taxonomi,April 21,EP,"Jazz rock, Funk",Instrumental,"Delft, Netherlands",BC,S,,,
Terzo,Terzo,April 21,LP,"Drone rock, Shoegaze",Clean,"Stockholm, NY",BC,S,,,
Silver Moth,Black Bay,April 21,LP,"Post-rock, Shoegaze",Clean,UK,BC,S,,,
Rival Cults,Indoctrination,April 21,LP,"Post-Punk, Gothic rock",Clean,"Santa Barbara, CA",BC,S,,,
Jethro Tull,R​ö​kFl​ö​te,April 21,LP,Prog-rock,Clean,"Luton, UK",BC,S,,,
Svntax Error,The Vanishing Existence,April 21,LP,"Post-rock, Dark Pop",Instru./Clean,"Sydney, Australia",BC,S,,,
Superviolet,Infinite Spring,April 21,LP,Indie rock,Clean,"Columbus, OH",BC,S,,,
Ultraphauna,No No No No,April 21,LP,Art rock,Clean,International,BC,S,,,
Iron Jinn,Iron Jinn,April 21,LP,Psychedelic rock,Clean,"Arnhem, Netherlands",BC,S,,,
Legs On Wheels,Legroom,April 22,LP,"Prog-rock, Psychedelic rock",Clean,"Manchester, UK",BC,S,,,
Car Crash Weather,Terra Nostra,April 22,LP,Post-rock,Instrumental,"Zürich, Switzerland",BC,S,,,
Kukangendai,Tracks,April 26,LP,"Experimental rock, Math rock",Instrumental,"Kyoto, Japan",BC,S,,,
Vissac,Curiosity,April 26,EP,"Prog-rock, Jazz Fusion",Instrumental,"Fremantle, Australia",BC,S,,,
Slaughterhäus Surf Cult,It's Just Violence,April 27,EP,"Garage rock, Punk rock",Clean,"Hobart, Australia",BC,S,,,
Orsak:Oslo,In Irons,April 27,LP,"Post-rock, Krautrock",Instrumental,Sweden,BC,S,,,
Skerryvore,Tempus,April 28,LP,Folk rock,Clean,"Tiree, Scotland",BC,S,,,
The Stone Eye,Fata Morgana,April 28,LP,"Prog-rock, Stoner rock",Clean,"Philadelphia, PA",BC,S,,,
Dangerface,Be Damned!,April 28,LP,Hardcore Punk,Mixed,"Stavanger, Norway",BC,S,YT,,
Dropkick,The Wireless Revolution,April 28,LP,"Pop rock, Jangle Pop",Clean,UK,BC,S,,,
Josh Ritter,Spectral Lines,April 28,LP,"Singer/Songwriter, Folk rock, Americana",Clean,"Brooklyn, NY",BC,S,,,
Helicon,God Intentions,April 28,LP,Psychedelic rock,Clean,"Glasgow, UK",BC,S,,,
Megafauna,Olympico,April 28,LP,"Alt-rock, Grunge",Clean,"Austin, TX",BC,S,,,
Gregory Uhlmann,Again and Again,April 28,LP,"Chamber Pop, Indie rock",Clean,"Los Angeles, CA",BC,S,,,
Tunic,Wrong Dream,April 28,LP,Noise rock,Mixed,"Winnipeg, Canada",BC,S,YT,,
Dan Rosenboom,Polarity,April 28,LP,"Avant-garde, Jazz rock",Instrumental,"Los Angeles, CA",BC,S,,,
Hearts Apart,Bang! Wrong Again,April 28,EP,"Alt-rock, Punk rock",Clean,"Vicenza, Italy",BC,S,,,
Mars Red Sky,Mars Red Sky & Queen Of The Meadow,April 28,EP,"Psychedelic rock, Stoner rock",Clean,"Bordeaux, France",BC,S,,,
Leagus,Flora Eallin,April 28,LP,Modern Jazz,Instrumental,Norway,BC,S,,,
Hawkwind,The Future Never Waits,April 28,LP,Space rock,Clean,UK,BC,S,,,
Sunfruits,One Degree,April 28,LP,"Psychedelic rock, Pop",Clean,"Melbourne, Australia",BC,S,,,
Wolfredt,IIII,April 28,LP,Post-rock,Instrumental,"Tallinn, Estonia",BC,S,YT,,
Bald Anders,Navigator,April 28,LP,"Psychedelic rock, Avant-Folk",Clean,Germany,BC,S,,,
ifsounds,MMXX,April 28,LP,Prog-rock,Clean,"Molise, Italy",BC,S,,,
Mushroom Giant,In a Forest,April 28,LP,Prog-rock,Instrumental,"Melbourne, Australia",BC,S,,,
Great Lake Swimmers,Uncertain Country,April 28,LP,"Folk rock, Indie rock",Clean,"Toronto, Canada",BC,S,,,
Photo Ops,Burns Bright,April 28,LP,"Indie rock, Dream Pop",Clean,"Los Angeles, CA",BC,S,,,
Gorilla Pulp,Mask Off!,April 28,LP,Stoner rock,Clean,"Viterbo, Italy",BC,S,,,
Nautha,Metempsychosis,April 28,LP,"Prog-rock, Psychedelic rock",Clean,"Rome, Italy",BC,S,,,
Hotel of the Laughing Tree,Faraway Friends,April 28,LP,"Indie rock, Alt-rock",Clean,"New York, NY",BC,S,,,
Tropism,Tropism,April 28,EP,Post-rock,Instrumental,"Fredericksburg, VA",BC,S,,,
Plainride,Plainride,April 28,LP,Stoner rock,Clean,"Cologne, Germany",BC,S,,,
Tiny Ruins,Ceremony,April 28,LP,"Singer/Songwriter, Indie Pop",Clean,"Auckland, New Zealand",BC,S,,,
Seas of Titan,Viewpoint | Physica,April 28,EP,"Prog-rock, Alt-metal, Post-Hardcore",Mixed,"Melbourne, Australia",BC,S,,,
Loud As Giants,Empty Homes,April 28,LP,"Post-rock, Ambient",Instrumental,"Antwerp, Belgium",BC,,,,
Odd,Where The Sun Is Shining,April 28,EP,Post-rock,Instrumental,"Dumaguete, Philippines",BC,S,,,
The National,First Two Pages of Frankenstein,April 28,LP,"Chamber Pop, Indie rock",Clean,"Brooklyn, NY",BC,S,,,
Optic Nerve,Angel Numbers,April 28,LP,Post-Punk,Clean,"Sydney, Australia",BC,S,,,
Brave the Sea,Lady Death,April 28,LP,"Celtic rock, Punk rock",Clean,"Newark, OH",,S,,,
Floral Image,So Synthesised,April 28,EP,"Psychedelic rock, Neo-Psychedelia",Clean,"Norwich, UK",BC,S,,,
One Day We Will Be The Trees,Brink,April 28,LP,"Post-rock, Math rock",Instru./Clean,"London, UK",BC,S,,,
Perséide,Les couleurs d'été,April 28,LP,Psychedelic rock,Clean,"Trois-Rivières, Canada",BC,S,,,
Cries for Colour,Moon Musick,April 28,EP,"Indie rock, Dream Pop",Clean,"Waterloo, Canada",BC,S,,,
Solar Temple,The Great Star Above Provides,April 28,LP,"Psychedelic rock, Space rock, Drone",Clean,Netherlands,BC,S,YT,,
Karmic Juggernaut,Phantasmagloria,April 28,LP,Prog-rock,Clean,"Asbury Park, NJ",BC,S,,,
False Land,Lead Us,May 1,EP,Alt-rock,Clean,Poland,BC,S,,,
The Dreamist,Neophyte,May 1,LP,Prog-rock,Clean,"Detroit, MI",BC,,,,
Rusty Bonez,Brainworm,Mat 4,LP,"Stoner rock, Hard rock",Clean,"Athens, Greece",BC,S,,,
5th Season,5th Season,May 5,LP,Prog-rock,Clean,"Tampere, Finland",BC,S,,,
Cloth,Secret Measure,May 5,LP,"Indie rock, Alt Pop",Clean,"Glasgow, UK",BC,S,,,
Kanaan,Downpour,May 5,LP,"Psychedelic rock, Space rock",Instrumental,"Oslo, Norway",BC,S,,,
Morganway,Back To Zero,May 5,LP,"Pop rock, Alt-Country",Clean,"Norwich, UK",BC,S,,,
The Lemon Twigs,Everything Harmony,May 5,LP,"Glam rock, Pop rock",Clean,"New York, NY",BC,S,,,
Lumsk,Fremmede Toner,May 5,LP,"Prog-rock, Folk rock",Clean,Norway,BC,S,,,
Statues,Black Arcs Rising,May 5,LP,"Alt-rock, Post-Punk",Clean,"Umeå, Sweden",BC,S,,,
Klotter,"Och om du inte vet, så är du dum",May 5,LP,"Indie rock, Punk rock",Clean,"Linköping, Sweden",BC,S,,,
The Hip Priests,Roden House Blues,May 5,LP,Punk rock,Clean,"Nottingham, UK",BC,S,,,
Low Hums,Destinations,May 5,LP,Psychedelic rock,Clean,"Seattle, WA",BC,S,,,
SQÜRL,Silver Haze,May 5,LP,Psychedelic rock,Instru./Clean,"New York, NY",BC,S,,,
