2019 Progressive Metal Albums,,Releases:,424,"Sort by Artist, Vocal Style, or Genre:
Data -> Filter views... -> ...
Or create your own Filter View:
Data -> Filter views... -> Create a new filter view","Collaborators: 
/u/FranticDav
/u/Faceless_Aeons
/u/tapestrymusicpodcast
/u/ickybus",,Images & Words: The Prog Discord,,,,,
Suldusk,Lunar Falls,April 12,LP,"Blackgaze, Post-metal, Folk metal, Black metal",Mixed,"Melbourne, Australia",BC,S,GP,YT,Az,🍎
Umpfel,As the Waters Cover the Sea,April 12,LP,"Prog-metal/rock, Jazz Fusion",Mixed,"Kristiansand, Norway",BC,S,GP,YT,Az,🍎
codeia,as he turned back towards the eye of the storm,April 13,LP,"Post-metal, Ambient",Mixed,"BW, Germany",BC,S,,,,
Allegaeon,Apoptosis,April 19,LP,"Prog-metal, Technical/Melodic Death metal",Harsh,CO,BC,S,GP,YT,Az,🍎
Dayslived,Flectar,April 19,LP,"Prog-metal, Power, Heavy prog",Clean,"Torino, Italy",,S,GP,YT,Az,🍎
DRUIDS,Monument,April 19,LP,"Prog-metal, Space rock, Doom metal",Mixed,"Des Moines, IA",BC,S,GP,YT,Az,🍎
Fractal Universe,Rhizomes of Insanity,April 19,LP,"Prog-metal, Technical Death metal",Harsh,"Nancy, France",BC,S,GP,YT,Az,🍎
Muldrotha,Where Terror Thrives,April 19,EP,"Prog-metal, Technical Death metal",Harsh,California,,S,GP,YT,Az,🍎
Psychopress,The Möbius Strip,April 19,LP,"Prog-metal, Death metal",Harsh,"Taichung City, Taiwan",BC,S,GP,YT,Az,🍎
Archaic Decapitator,The Apothecary,April 19,EP,"Melodic/Technical Death metal, Prog-metal, Black metal",Harsh,CT,BC,S,,YT,,
Tillian,Lotus Graveyard,April 20,LP,"Prog-metal, Eclectic Prog",Clean,"Tel Aviv, Israel",BC,S,GP,YT,Az,🍎
Avandra,Descender,April 26,LP,Prog-metal,Clean,Puerto Rico,BC,S,GP,YT,Az,🍎
De Lirium's Order,Singularity,April 26,LP,"Technical Death metal, Prog-metal",Mixed,"Kuopio, Finland",BC,S,GP,YT,Az,🍎
Lord Dying,Mysterium Tremendum,April 26,LP,"Prog-metal, Sludge metal, Stoner metal",Mixed,"Portland, OR",BC,S,GP,YT,Az,🍎
Oceanwake,Lights Flashing In Mute Scenery,April 26,LP,"Prog-metal, Death metal, Doom metal",Mixed,"Helsinki, Finland",BC,S,GP,YT,Az,🍎
Spotlights,Love & Decay,April 26,LP,"Prog-metal, Prog-rock, Doom-gaze, Post, Sludge",Mixed,"New York, NY",BC,S,GP,YT,Az,🍎
Vaura,Sables,April 26,LP,"Prog-metal, Avant-garde, Experimental rock",Clean,"Brooklyn, NY",BC,S,GP,YT,Az,🍎
Archivist,TRIUMVIRATE,April 28,LP,"Prog-metal, Black, Shoegaze, Post, Space",Mixed,Austria,BC,S,GP,YT,,🍎
Arch Echo,You Won't Believe What Happens Next!,May 1,LP,"Prog-metal, instrumental, djent",Instrumental,"Nashville, TN",BC,S,GP,YT,Az,🍎
Mireplaner,A Mountain Of Saola Hooves,May 3,LP,"Prog-metal, Post, Sludge, Avant-garde, Ambient",Mixed,Finland,BC,S,GP,YT,Az,🍎
Myrath,Shehili,May 3,LP,"Prog-metal, Symphonic, Oriental",Clean,Tunisia,,S,GP,YT,Az,🍎
Lars Eric Mattsson,Into the Unknown,May 9,LP,"Prog-metal, Symphonic, Neoclassica, Hard Rock",Clean,Finland,,S,GP,YT,,🍎
Aeon Zen,Inveritas,May 10,LP,"Prog-metal, Djent",Clean,England,,S,GP,YT,Az,🍎
Arch / Matheos,Winter Ethereal,May 10,LP,"Prog-metal, Power metal",Clean,NY,BC,S,GP,YT,Az,🍎
Dreadnought,Emergence,May 10,LP,"Prog-metal, Black metal, Folk metal, Doom metal",Mixed,"Denver, CO",BC,S,GP,YT,Az,🍎
Spheres,IONO,May 10,LP,Prog-metal,Mixed,"Paris, France",BC,S,GP,YT,Az,🍎
The Omnific,The Mind's Eye,May 10,EP,"Prog-metal, Djent",Instrumental,"Melbourne, Australia",BC,S,GP,YT,Az,🍎
Warforged,I: Voice,May 10,LP,"Prog-metal, Blackened Death metal",Harsh,"Chicago, IL",BC,S,GP,YT,Az,🍎
Artificial Language,Now We Sleep,May 17,LP,"Prog-metal, Djent",Clean,California,BC,S,GP,YT,Az,🍎
CANVAS,Portrait,May 17,LP,"Prog-metal, Alternative",Mixed,"San José, Costa Rica",BC,S,GP,,Az,🍎
Glassing,Spotted Horse,May 17,LP,"Black metal, Post-hardcore, Ambient",Harsh,"Austin, TX",BC,S,GP,YT,Az,🍎
Vale of Pnath,Accursed,May 17,EP,"Prog-metal, Melodic/Technical Death metal, Black, Deathcore",Mixed,"Denver, CO",BC,S,GP,YT,Az,🍎
Deathspell Omega,The Furnaces of Palingenesia,May 24,LP,"Prog-metal, Black metal, Avant-garde",Harsh,"Poitiers, France",BC,S,GP,YT,Az,🍎
Epectase,Astres,May 24,LP,"Prog-metal, Black metal, Heavy metal",Harsh,"Paris, France",BC,S,GP,YT,Az,🍎
Misþyrming,Algleymi,May 24,LP,Black metal,Harsh,"Reykjavík, Iceland",BC,S,GP,YT,Az,🍎
Rendezvous Point,Universal Chaos,May 24,LP,Prog-metal/rock,Clean,Norway,BC,S,GP,YT,Az,🍎
Destrage,The Chosen One,May 24,LP,"Prog-metal, Melodic Death Metal, Metalcore, Mathcore",Harsh,"Milan, Italy",BC,S,GP,YT,Az,🍎
Adrift,Pure,May 31,LP,"Prog-metal, Post-metal",Harsh,"Madrid, Spain",BC,S,GP,YT,Az,🍎
Edge of Reality,IN STATIC,May 31,LP,"Prog-metal/rock, eclectic",Clean,"Nashville, TN",BC,S,GP,YT,Az,🍎
Hidden Lapse,Butterflies,May 31,LP,"Prog-metal, Power, Melodic, Alternative",Clean,"Fabriano, Italy",,S,GP,YT,Az,🍎
Hornwood Fell,Damno Lumina Nocte,May 31,LP,"Black metal, Dissonant, Experimental",Harsh,"Lazio, Italy",BC,,,,,
Ihlo,Union,May 31,LP,"Prog-metal, Melodic, Djent",Clean,UK,BC,S,GP,YT,Az,🍎
Until Rain,Season V,May 31,LP,"Prog-metal, Alternative, Experimental",Mixed,"Thessaloniki, Greece / London, England",BC,S,GP,YT,Az,🍎
Majesty of Revival,Timeless,May 31,LP,"Prog-metal, Power, Melodic, Neoclassical",Clean,"Ужгород, Ukraine",BC,S,GP,YT,Az,🍎
Alberto Rigoni,Prog Injection,June 7,LP,"Prog-metal, Hard Prog, Experimental, Fusion",Instrumental,"Treviso, Italy",BC,S,GP,YT,Az,🍎
Chon,Chon,June 7,LP,"Prog-metal, Math",Instrumental,"San Diego, CA",,S,GP,YT,Az,🍎
This Sun No More,In Circles,June 7,LP,"Prog-metal, Post-metal, Doom metal, Sludge",Harsh,"Stoke, UK",BC,S,GP,YT,Az,🍎
Flub,Flub,June 7,LP,"Prog-metal, Melodic Death Metal, Deathcore, Experimental",Harsh,"Sacramento, CA",BC,S,GP,YT,Az,🍎
Atlas Entity,Beneath the Cosmic Silence,June 14,LP,"Prog-metal, Technical Death metal, Melodic",Harsh,"Tampa, FL",BC,S,GP,YT,Az,🍎
Baroness,Gold and Grey,June 14,LP,"Prog-metal, Groove, Sludge metal",Mixed,"Savannah, GA",,S,GP,YT,Az,🍎
Sweet Oblivion,Sweet Oblivion,June 14,LP,"Prog-metal, Heavy prog, Alternative",Clean,Italy/USA,,S,GP,YT,Az,🍎
Teramaze,Are We Soldiers,June 21,LP,"Prog-metal, Symphonic",Clean,"Melbourne, Australia",,S,GP,YT,Az,🍎
Howling Sycamore,Seven Pathways to Annihilation,June 21,LP,"Prog-metal, Experimental",Clean,"San Francisco, CA",BC,S,GP,,Az,🍎
Unconstant Motion,Solstice,June 21,LP,"Prog-metal, Prog-rock",Instru./Clean,"Lyon, France",BC,S,,,,
Omega District,The Machine Destiny,June 21,LP,"Prog-metal, Groove metal, Experimental",Mixed,"Seattle, WA",BC,S,GP,YT,Az,🍎
Jolly,Family,June 22,LP,"Prog-metal, Alt-metal",Clean,"New York, NY",BC,S,GP,YT,Az,🍎
Ashbringer,Absolution,June 28,LP,"Atmospheric Black metal, Post-metal",Harsh,"Twin Cities, MN",BC,S,GP,,Az,🍎
Spirit Healer,Hollowform,June 28,LP,"Prog-metal, Djent",Mixed,"Atlanta, GA",BC,S,GP,YT,Az,🍎
TheNightTimeProject,Pale Season,June 28,LP,"Prog-metal, Alternative, Doom",Clean,"Avesta, Sweden",BC,S,GP,YT,Az,🍎
Fields Of Elysium,In Ancient Contemplation,July 1,LP,"Prog-metal, Technical Death metal",Mixed,"Santa Fe, NM",BC,S,GP,YT,Az,🍎
Nightmare Scenario,Beyond What Is Real,July 5,EP,"Experimental, Swing, New Wave",Clean,"Greensboro, NC",BC,S,GP,YT,Az,🍎
Elder,The Gold & Silver Sessions,July 12,EP,"Prog-metal, Psychedelic, Heavy prog",Instrumental,"New Bedford, MA",BC,S,GP,YT,Az,🍎
Mind Key,MK III - Aliens In Wonderland,July 12,LP,"Prog-metal, Hard rock, AOR",Clean,"Naples, Italy",,S,GP,YT,Az,🍎
Arctic Sleep,Kindred Spirits,July 12,LP,"Prog-metal, Doom metal, Post-metal, Shoegaze",Clean,"Milwaukee, WI",BC,,,,Az,🍎
HYVMINE,Retaliation,July 12,LP,"Prog-metal, Djent, Alternative",Clean,"Los Angeles, CA",BC,S,GP,YT,Az,🍎
AURAS,Binary Garden,July 12,LP,"Prog-metal, Djent, Groove, Metalcore",Mixed,"Waterloo, ON",BC,S,GP,YT,Az,🍎
Animus Complex,The Phaneron,July 13,LP,"Prog-metal, Djent, Psychedelic",Harsh,"Phoenix, AZ",BC,S,GP,,Az,🍎
Falls of Rauros,Patterns in Mythology ,July 19,LP,"Black metal, Folk metal, Atmospheric",Harsh,"Portland, ME",BC,S,GP,YT,Az,🍎
Gates to the Morning,Return To Earth,July 19,LP,"Prog-metal, Black metal, Post-metal",Mixed,"Bloomingdale, NJ",BC,S,GP,YT,Az,🍎
Valis Ablaze,Render,July 19,LP,"Prog-metal, Alternative, Djent, Groove",Clean,"Bristol, England",BC,S,GP,YT,Az,🍎
Tanjiir,Purnima,July 19,LP,"Prog-metal, Post-metal",Instrumental,"Chicago, IL",BC,S,GP,YT,Az,🍎
Mefitis,Despair,July 19,EP,"Prog-metal, Black metal",Harsh,"Beijing, China",BC,S,GP,YT,Az,🍎
Syncatto,Coloratura,July 25,EP,"Prog-metal, Virtuoso",Instrumental,"Fresno, CA",BC,S,GP,YT,Az,🍎
Throes,In The Hands Of An Angry God,July 26,LP,"Sludge metal, Post-metal, Hardcore",Harsh,"Boise, ID",BC,S,GP,YT,Az,🍎
Sūrya,Solastalgia,July 26,LP,"Sludge metal, Doom metal, Experimental",Harsh,"London, UK",BC,S,GP,YT,Az,🍎
Botis,Grand Abominations,July 26,LP,"Prog-metal, Black metal, Thrash metal",Harsh,"Philadelphia, PA",BC,S,GP,YT,Az,🍎
Freedom of Fear,Nocturnal Gates,August 2,LP,"Prog-metal, Technical Death metal",Harsh,"Adelaide, Australia",BC,S,GP,YT,Az,🍎
Bleak Flesh,…And Save Us From Silence,August 6,LP,"Prog-metal, Technical Death metal, Neoclassical",Harsh,"Santiago, Chile",BC,S,GP,YT,Az,🍎
Unprocessed,Artificial Void,August 9,LP,"Prog-metal, Djent, Metalcore",Mixed,"Wiesbaden, Germany",BC,S,GP,YT,Az,🍎
Richard Henshall,The Cocoon,August 9,LP,"Prog-metal, Djent, Jazz",Clean,"London, England",BC,S,GP,YT,Az,🍎
Hemina,Night Echoes,August 9,LP,"Prog-metal, Djent, Groove, Space rock",Clean,"Sydney, Australia",BC,S,GP,YT,Az,🍎
The Contortionist,Our Bones,August 9,EP,"Prog-metal, Atmospheric, Djent",Clean,"Indianapolis, IN",BC,S,GP,YT,Az,🍎
Harm Less,Safe's Pace,August 9,LP,"Post-metal, Djent, Shoegaze",Instrumental,"Chicago, IL",BC,S,GP,YT,Az,🍎
Sleep Terror,Abreaction,August 10,LP,"Technical Death metal, Jazz, Funk",Instrumental,"Seattle, WA",BC,S,GP,YT,Az,🍎
Cloudkicker,Unending,August 15,LP,"Prog-metal, Post-rock, Ambient",Instrumental,"Columbus, OH",BC,S,GP,YT,Az,🍎
Pijn & Conjurer,Curse These Metal Hands,August 16,LP,"Post-metal, Experimental, Ambient",Mixed,UK,BC,S,GP,YT,Az,🍎
Parallel Dimension,Angular Perceptions,August 16,LP,"Prog-metal, Power",Clean,"San Juan, Puerto Rico",BC,S,GP,YT,Az,🍎
King Gizzard & The Lizard Wizard,Infest The Rats' Nest,August 16,LP,"Heavy metal, Thrash metal",Harsh,"Melbourne, Australia",BC,S,GP,YT,Az,🍎
Thessa,Duality,August 17,LP,"Prog-metal, djent, post-rock",Instrumental,"Anglet, France",BC,S,GP,YT,Az,🍎
Eternal Storm,Come The Tide,August 23,LP,Melodic Death metal,Harsh,"Madrid, Spain",BC,S,GP,,Az,🍎
The Holeum,Sublime Emptiness,August 23,LP,"Post-metal, Ambient, Doom metal",Mixed,"Murcia, Spain",BC,S,GP,YT,Az,🍎
WRVTH,No Rising Sun,August 23,LP,"Prog-metal, Post-metal, Atmospheric",Harsh,"San Jose, CA",BC,S,GP,YT,Az,🍎
Isole,Dystopia,August 23,LP,Doom metal,Clean,"Gävle, Sweden",BC,S,GP,YT,Az,🍎
Omnibeing,Polytheria,August 27,LP,Prog-metal,Instrumental,"Minsk, Belarus",BC,S,GP,YT,Az,🍎
Obsidian Tide,Pillars of Creation,August 29,LP,"Prog-metal, Death metal, Post-metal",Mixed,Israel,BC,S,GP,YT,Az,🍎
Essence of Datum,Spellcrying Machine,August 30,LP,"Technical Death metal, Melodic Death metal",Instrumental,"Minsk, Belarus",BC,S,GP,YT,Az,🍎
Tool,Fear Inoculum,August 30,LP,"Prog-metal, Alternative",Clean,"Los Angeles, CA",BC,S,GP,YT,Az,🍎
Imperium Dekadenz,When We Are Forgotten,August 30,LP,Black metal,Harsh,"BW, Germany",BC,S,GP,YT,Az,🍎
Hope Drone,Void Lustre,August 30,LP,"Atmospheric Black metal, Post-metal, Sludge metal",Harsh,"Brisbane, Australia",BC,S,GP,YT,Az,🍎
The Fifth Alliance,The Depth Of The Darkness,August 30,LP,"Post-metal, Sludge metal, Black metal, Doom metal",Harsh,"Breda, Netherlands",BC,S,GP,YT,Az,🍎
The Ritual Aura,Velothi,September 1,LP,"Prog-metal, Technical Death metal",Harsh,"Perth, Australia",BC,S,,YT,Az,🍎
Parliament Owls,A Span Is All That We Can Boast,September 6,LP,"Prog-metal, Post-hardcore, Math rock",Mixed,"Toronto, ON",BC,S,GP,YT,Az,🍎
Foscor,Els Sepulcres Blancs,September 6,LP,"Prog-metal, Black metal",Clean,"Barcelona, Spain",BC,S,GP,YT,Az,🍎
Kayo Dot,Blasphemy,September 6,LP,"Avant-Garde metal, Experimental, Prog-rock, Psychedelic",Mixed,"Brooklyn, NY",BC,S,GP,YT,Az,
Disillusion,The Liberation,September 6,LP,"Prog-metal, Melodic Death metal",Mixed,"Leipzig, Germany",BC,S,GP,YT,Az,🍎
Cognizance,Malignant Dominion,September 6,LP,Technical Death metal,Harsh,"Leeds, UK",BC,S,GP,,Az,🍎
Anamorph,Lucid,September 6,LP,"Prog-metal, Prog-rock, Math-rock",Instrumental,"North Carolina, NC",BC,S,GP,YT,Az,🍎
Vokonis,Grasping Time,September 6,LP,"Prog-metal, Doom metal, Psychedelic",Clean,"Borås, Sweden",BC,S,GP,YT,Az,🍎
Serpent Column,Mirror in Darkness,September 9,LP,"Prog-metal, Black metal, Death metal",Harsh,Usa,BC,S,,,,
Haunter,Sacramental Death Qualia,September 13,LP,"Prog-metal, Black metal",Harsh,"San Antonio, TX",BC,S,GP,YT,,
V,Led Into Exile,September 13,LP,"Prog-metal, Post-metal, Sludge metal",Harsh,Sweden,BC,S,GP,YT,Az,
Husbandry,A Port in a Storm,September 13,LP,"Post-punk, Post-hardcore, prog-metal",Mixed,"Brooklyn, NY",BC,S,GP,YT,,🍎
A Constant Knowledge of Death,Vol. III​.​c: Everything Was Possible And Nothing Was True,September 13,EP,"Prog-metal, Post-metal, Sludge metal",Harsh,"Long Beach, CA",BC,S,GP,YT,Az,
Wallowing,Planet Loss,September 13,LP,"Sludge metal, Doom metal, Post-metal",Harsh,"Brighton, UK",BC,S,GP,YT,Az,🍎
Monolord,No Comfort,September 20,LP,"Sludge metal, Doom metal, Psychedelic",Clean,"Gothenburg, Sweden",BC,S,GP,YT,Az,🍎
White Ward,Love Exchange Failure,September 20,LP,"Avant-garde, Post-black, Experimental",Harsh,"Odessa, Ukraine",BC,S,GP,YT,Az,🍎
Tides From Nebula,From Voodoo To Zen,September 20,LP,"Prog-metal, Post-metal",Instrumental,"Warsaw, Poland",BC,S,GP,YT,Az,🍎
Cult of Luna,A Dawn to Fear,September 20,LP,"Prog-metal, Post-metal, Atmospheric Sludge",Harsh,"Umeå, Sweden",BC,S,GP,YT,Az,🍎
Pangaea,VESPR,September 20,LP,"Prog-metal, Djent, Metalcore",Harsh,"Wisconsin, WI",BC,S,GP,,Az,
Klone,Le Grand Voyage,September 20,LP,"Prog-metal, Atmospheric",Clean,"Poitiers, France",,S,GP,YT,Az,🍎
Aspherium,The Embers of Eternity,September 23,LP,"Prog-metal, Death metal",Mixed,"Moss, Norway",BC,S,GP,YT,Az,🍎
Astrosaur,Obscuroscope,September 27,LP,"Post-metal, Prog-rock, Sludge",Instrumental,"Oslo, Norway",BC,S,GP,YT,Az,🍎
IATT,Nomenclature,September 27,LP,"Prog-metal, Black metal, Death metal",Harsh,"Philadelphia, PA",BC,S,GP,YT,Az,
Hashshashin,Badakhshan,September 27,LP,"Prog-metal, Psychedelic rock, Drone",Instrumental,"Sydney, Australia",BC,S,GP,YT,Az,🍎
E-L-R,Mænad,September 27,LP,"Post-metal, Doom metal",Clean,"Bern, Switzerland",BC,S,GP,YT,,🍎
Car Bomb,Mordial,September 27,LP,"Prog-metal, Mathcore, Experimental",Harsh,"Brooklyn, NY",BC,S,GP,YT,Az,🍎
Borknagar,True North,September 27,LP,"Prog-metal, Black metal, Folk",Mixed,"Bergen, Norway",,S,GP,YT,Az,🍎
Opeth,In Cauda Venenum,September 27,LP,Prog-metal,Clean,"Stockholm, Sweden",,S,GP,,Az,🍎
Cranial,Alternate Endings,September 27,LP,"Atmospheric Sludge, Post-metal",Harsh,"Würzburg, Germany",BC,S,GP,YT,Az,🍎
Kadinja,DNA,September 27,LP,"Prog-metal, Djent",Mixed,"Paris, France",BC,S,GP,YT,Az,🍎
Dreamarcher,The Bond,September 27,LP,"Prog-metal, Sludge, Experimental",Mixed,"Oslo, Norway",BC,S,,YT,Az,🍎
Vintersea,Illuminated,September 27,LP,"Prog-metal, Black Metal, Melodic Death Metal",Mixed,"Corvallis, OR",BC,S,,,Az,🍎
Rosetta,Terra Sola,October 1,EP,"Atmospheric Sludge, Post-metal, Ambient",Mixed,"Philadelphia, PA",BC,S,,YT,Az,
We Lost The Sea,Triumph & Disaster,October 4,LP,"Post-metal, Post-rock, Ambient",Instrumental,"Sydney, Australia",BC,S,,YT,Az,🍎
District 97,Screens,October 4,LP,"Prog metal, art rock, jazz fusion",Clean,"Chicago, IL",BC,S,,YT,Az,🍎
Insomnium,Heart Like A Grave,October 4,LP,Melodic Death metal,Harsh,"Joensuu, Finland",,S,,YT,Az,🍎
In Mourning,Garden Of Storms,October 4,LP,"Prog-metal, Melodic Death metal, Doom metal",Mixed,"Vansbro, Sweden",BC,S,,YT,Az,🍎
Seizures,Reverie of the Revolving Diamond,October 4,LP,"Prog-metal, Mathcore, Experimental",Harsh,"Dana Point, CA",BC,S,,YT,Az,🍎
Boris,LφVE & EVφL,October 4,LP,"Experimental metal, Drone, Psychedelic",Clean,"Tokyo, Japan",BC,S,,YT,Az,🍎
Dysrhythmia,Terminal Threshold,October 4,LP,"Prog-metal, Prog-rock, Technical",Instrumental,"Queens, NY",BC,S,,YT,Az,🍎
Gévaudan,Iter,October 4,LP,"Doom metal, Stoner metal, Heavy metal",Mixed,"Hertfordshire, UK",BC,S,,YT,Az,🍎
Yūrei,Saudade,October 4,LP,"Prog-metal, Djent, Atmospheric",Instrumental,"Toronto, Ontario",BC,S,,YT,Az,🍎
Solstorm,II,October 4,LP,"Post-metal, Doom, Drone",Mixed,"Bergen, Norway",BC,S,,YT,Az,🍎
Singularity,Place of Chains,October 11,LP,"Technical death metal, symphonic metal, symphonic black",Harsh,"Arizona, USA",BC,S,,YT,Az,🍎
Blut Aus Nord,Hallucinogen,October 11,LP,"Avant-garde, Atmospheric Black metal",Harsh,France,BC,S,,YT,Az,🍎
Vanden Plas,The Ghost Xperiment - Awakening,October 11,LP,"Prog-metal, Power metal, Symphonic",Clean,Germany,,S,,YT,Az,🍎
Silent Call,Windows,October 11,LP,"Prog-metal, Power metal, Symphonic",Clean,Sweden,,S,,YT,Az,
Sorxe,The Ark Burner,October 11,LP,"Post-metal, Sludge metal, Psychedelic",Mixed,"Phoenix, AZ",BC,S,,,Az,🍎
Shadow Limb,Burn Scar,October 11,LP,"Prog-metal, Prog-rock, Doom, Sludge",Mixed,"Chico, CA",BC,S,,YT,Az,🍎
ZIRAKZIGIL,Northland Wild,October 12,LP,"Prog-metal, Doom metal, Sludge",Harsh,"Portland, OR",BC,,,,,
Jun Mitsui,Evacuation,October 12,EP,"Prog-metal, Djent, Metalcore",Instrumental,Philippines,BC,S,,YT,Az,🍎
Chaos Motion,Psychological Spasms Cacophony,October 18,LP,"Prog-metal, Technical Death metal, Experimental",Harsh,"Strasbourg, France",BC,S,,,Az,🍎
Uneven Structure,Paragon,October 18,LP,"Prog-metal, Djent, Ambient",Mixed,"Montpellier, France",BC,S,,YT,Az,🍎
Lungs,Estuary,October 18,LP,"Post-metal, Sludge, Doom",Mixed,"Minneapolis, MN",BC,S,,YT,Az,
Mass Worship,Mass Worship,October 18,LP,"Death metal, Hardcore, Heavy metal",Harsh,"Stockholm, Sweden",,S,,YT,Az,🍎
Mantra,Medium,October 18,LP,"Prog-metal, Experimental, Psychedelic",Clean,"Rennes, France",BC,S,,YT,Az,🍎
Vinsta,Drei Deita,October 18,LP,"Prog-metal, Death metal",Mixed,"Salzburg, Austria",BC,S,,YT,Az,🍎
Ad Nemori,Akrateia,October 18,LP,"Atmospheric Death metal, Melodic Death metal",Harsh,"Munich, Germany",BC,S,,,Az,🍎
Controversial,Revelation,October 24,LP,Technical Death metal,Harsh,"Bremen, Germany",BC,S,,YT,Az,
The Great Old Ones,Cosmicism,October 25,LP,"Post-black, Atmospheric Black metal",Harsh,"Bordeaux, France",BC,S,,YT,Az,🍎
Leprous,Pitfalls,October 25,LP,Prog-metal,Mixed,"Notodden, Norway",,S,,YT,Az,🍎
Jinjer,Macro,October 25,LP,"Progressive metal, metalcore, groove metal",Mixed,"Donblast, Ukraine",BC,S,,YT,Az,🍎
Alcest,Spiritual Instinct,October 25,LP,"Post-metal, Shoegaze, Blackgaze",Mixed,"Paris, France",BC,S,,YT,Az,🍎
Sunn O))),Pyroclasts,October 25,LP,Drone metal,Instrumental,"Seattle, WA",BC,S,,YT,Az,🍎
Vision Divine,When All The Heroes Are Dead,October 25,LP,"Prog-metal, Power metal",Clean,Italy,BC,S,,YT,Az,🍎
Botanist,Ecosystem,October 25,LP,"Post-black, Avant-garde, Experimental",Harsh,"San Francisco, CA",BC,S,,YT,Az,🍎
The Artificials,Parable of the Human Spirit,October 26,EP,"Prog-metal, Djent",Mixed,"Gadsden, AL",BC,S,,YT,Az,🍎
Ok Goodnight,Limbo,October 31,LP,"Prog-metal, Prog-rock",Clean,"Boston, MA",BC,S,,YT,Az,🍎
Apotheus,The Far Star,October 31,LP,"Prog-metal, Melodic Death metal",Mixed,"Paços de Ferreira, Portugal",BC,S,,YT,Az,🍎
Stake,Critical Method,November 1,LP,"Post-metal, Grunge, Atmospheric",MIxed,"Ghent, Belgium",BC,S,,YT,Az,🍎
Voyager,Colours in the Sun,November 1,LP,"Prog-metal, electronic, pop, prog rock",Clean,"Perth, Australia",BC,S,,YT,Az,🍎
Year of the Cobra,Ash And Dust,November 1,LP,"Doom metal, Stoner rock",Clean,"Seattle, WA",BC,S,,YT,Az,🍎
Novembers Doom,Nephilim Grove,November 1,LP,"Death metal, Doom metal",Mixed,"Chicago, IL",BC,S,,YT,Az,🍎
Wilderun,Veil of Imagination,November 1,LP,"Prog-metal, Folk metal, Symphonic",Mixed,"Boston, MA",BC,S,,YT,Az,🍎
Nile,Vile Nilotic Rites,November 1,LP,Technical Death metal,Harsh,"Greenville, SC",,S,,YT,Az,🍎
Articulus ,I,November 1,LP,"Prog-metal, Heavy metal, Contemporary",Clean,"Oslo, Norway",BC,S,,YT,Az,🍎
I Built The Sky,The Zenith Rise,November 1,LP,"Prog-metal, Djent",Instrumental,"Melbourne, Australia",BC,S,,YT,Az,🍎
Sunless Rise,Ultimacy,November 1,LP,Melodic Death metal,Mixed,"Saint Petersburg, Russia",BC,S,,YT,Az,🍎
Symptoms of the Universe,Eternal Gloom,November 1,LP,"Prog-metal, Post-metal, Black metal",Mixed,"Bari, Italy",BC,S,,YT,Az,
Have A Nice Life,Sea of Worry,November 8,LP,"Post-punk, Shoegaze, Drone",Clean,"Middletown, CT",BC,S,,YT,Az,🍎
Esoteric,A Pyrrhic Existence,November 8,LP,Funeral Doom metal,Harsh,"Birmingham, UK",BC,S,,YT,Az,🍎
Wells Valley,Reconcile The Antinomy,November 8,LP,"Avant-Garde, Black metal, Sludge",Harsh,"Lisboa, Portugal",BC,S,,YT,Az,🍎
Galaxy,Lost From the Start,November 8,EP,"Prog-metal, Heavy metal, Thrash metal",Clean,"Melbourne, Australia",BC,S,,YT,Az,🍎
Schammasch,Hearts of No Light,November 8,LP,"Avant-garde, Black metal",Mixed,"Basel, Switzerland",BC,S,,YT,Az,🍎
Karyn Crisis' Gospel of the Witches,Covenant,November 8,LP,"Prog-metal, Heavy metal, Doom metal",Mixed,"New York, NY",BC,S,,YT,Az,🍎
Rorcal,Muladona,November 8,LP,"Post-metal, Black metal, Drone",Harsh,"Genève, Switzerland",BC,S,,YT,Az,🍎
Dimhav,The Boreal Flame,November 8,LP,"Prog-metal, Power metal",Mixed,"Stockholm, Sweden",BC,S,,YT,Az,🍎
Iapetus,The Body Cosmic,November 9,LP,"Prog-metal, Melodic Death metal, Atmospheric",Harsh,"Long Island, NY",BC,S,,YT,Az,🍎
Hanging Garden,Into that Good Night,November 15,LP,"Doom metal, Atmospheric",Mixed,"Helsinki, Finland",BC,S,,YT,Az,🍎
Earth Moves,Human Intricacy,November 15,LP,"Post-metal, Screamo, Shoegaze",Mixed,UK,BC,S,,YT,Az,🍎
The Night Watch,An Embarrassment of Riches,November 15,LP,"Prog-metal, Classical, Folk",Instrumental,"Ottawa, ON",BC,S,,,Az,
State Of Flux,State Of Flux,November 15,LP,"Prog-metal, Prog-rock, Jazz fusion",Instrumental,"West Palm Beach, FL",BC,S,,YT,Az,🍎
Jake Howsam Lowe,Oh Earth,November 15,EP,"Prog-metal, Djent, Math-rock",Instrumental,"Sydney, Australia",BC,S,,YT,Az,🍎
As Dark As You,As Dark As You,November 15,EP,"Prog-metal, Post-metal, Black metal",Mixed,"New York, NY",BC,S,,,Az,
Contrast,Leaving Stasis,November 15,LP,"Prog-metal, Death metal, Djent, Ambient",Mixed,"Boulogne Sur Mer, France",BC,S,,,Az,
Constellatia,The Language of Limbs,November 15,LP,"Post-metal, Black metal, Progressive",Mixed,"Cape Town, South Africa",BC,S,,YT,Az,🍎
Abigail Williams,Walk Beyond the Dark,November 15,LP,Black metal,Harsh,"Olympia, WA",BC,S,,YT,Az,🍎
